year,team_abb,player,college,round,pick,official_key
1994,MIL,Eric Mobley,Pitt,1,18,"Eric Mobley, 1994"
1994,DAL,Tony Dumas,Missouri-Kansas City,1,19,"Tony Dumas, 1994"
1994,PHI,B.J. Tyler,Texas,1,20,"B.J. Tyler, 1994"
1994,CHI,Dickey Simpkins,Providence,1,21,"Dickey Simpkins, 1994"
1994,SAS,Bill Curley,Boston College,1,22,"Bill Curley, 1994"
1994,PHO,Wesley Person,Auburn,1,23,"Wesley Person, 1994"
1994,NYK,Monty Williams,Notre Dame,1,24,"Monty Williams, 1994"
1994,LAC,Greg Minor,Louisville,1,25,"Greg Minor, 1994"
1994,NYK,Charlie Ward,Florida State,1,26,"Charlie Ward, 1994"
1994,ORL,Brooks Thompson,Oklahoma State,1,27,"Brooks Thompson, 1994"
1994,DAL,Deon Thomas,Illinois,2,28,"Deon Thomas, 1994"
1994,PHO,Antonio Lang,Duke,2,29,"Antonio Lang, 1994"
1994,MIN,Howard Eisley,Boston College,2,30,"Howard Eisley, 1994"
1994,ORL,Rodney Dent,Kentucky,2,31,"Rodney Dent, 1994"
1994,WSB,Jim McIlvaine,Marquette,2,32,"Jim McIlvaine, 1994"
1994,PHI,Derrick Alston,Duquesne,2,33,"Derrick Alston, 1994"
1994,ATL,Gaylon Nickerson,Northwestern Oklahoma State University,2,34,"Gaylon Nickerson, 1994"
1994,SAC,Michael Smith,Providence,2,35,"Michael Smith, 1994"
1994,BOS,Andrei Fetisov,No US College,2,36,"Andrei Fetisov, 1994"
1994,SEA,Dontonio Wingfield,Cincinnati,2,37,"Dontonio Wingfield, 1994"
1994,CHH,Darrin Hancock,Kansas,2,38,"Darrin Hancock, 1994"
1994,GSW,Anthony Miller,Michigan State,2,39,"Anthony Miller, 1994"
1994,MIA,Jeff Webster,Oklahoma,2,40,"Jeff Webster, 1994"
1994,IND,William Njoku,No US College,2,41,"William Njoku, 1994"
1994,CLE,Gary Collier,Tulsa,2,42,"Gary Collier, 1994"
1994,POR,Shawnelle Scott,St. John's,2,43,"Shawnelle Scott, 1994"
1994,IND,Damon Bailey,Indiana,2,44,"Damon Bailey, 1994"
1994,GSW,Dwayne Morton,Louisville,2,45,"Dwayne Morton, 1994"
1994,MIL,Voshon Lenard,Minnesota,2,46,"Voshon Lenard, 1994"
1994,UTA,Jamie Watson,South Carolina,2,47,"Jamie Watson, 1994"
1994,DET,Jevon Crudup,Missouri,2,48,"Jevon Crudup, 1994"
1994,CHI,Kris Bruton,Benedict College,2,49,"Kris Bruton, 1994"
1994,PHO,Charles Claxton,Georgia,2,50,"Charles Claxton, 1994"
1994,SAC,Lawrence Funderburke,Ohio State,2,51,"Lawrence Funderburke, 1994"
1994,PHO,Anthony Goldwire,Houston,2,52,"Anthony Goldwire, 1994"
1994,HOU,Albert Burditt,Texas,2,53,"Albert Burditt, 1994"
1994,SEA,Željko Rebrača,No US College,2,54,"Željko Rebrača, 1994"
1995,GSW,Joe Smith,Maryland,1,1,"Joe Smith, 1995"
1995,LAC,Antonio McDyess,Alabama,1,2,"Antonio McDyess, 1995"
1995,PHI,Jerry Stackhouse,UNC,1,3,"Jerry Stackhouse, 1995"
1995,WSB,Rasheed Wallace,UNC,1,4,"Rasheed Wallace, 1995"
1995,MIN,Kevin Garnett,No US College,1,5,"Kevin Garnett, 1995"
1995,VAN,Bryant Reeves,Oklahoma State,1,6,"Bryant Reeves, 1995"
1995,TOR,Damon Stoudamire,Arizona,1,7,"Damon Stoudamire, 1995"
1995,POR,Shawn Respert,Michigan State,1,8,"Shawn Respert, 1995"
1995,NJN,Ed O'Bannon,UCLA,1,9,"Ed O'Bannon, 1995"
1995,MIA,Kurt Thomas,TCU,1,10,"Kurt Thomas, 1995"
1995,MIL,Gary Trent,Ohio University,1,11,"Gary Trent, 1995"
1995,DAL,Cherokee Parks,Duke,1,12,"Cherokee Parks, 1995"
1995,SAC,Corliss Williamson,Arkansas,1,13,"Corliss Williamson, 1995"
1995,BOS,Eric Williams,Providence,1,14,"Eric Williams, 1995"
1995,DEN,Brent Barry,Oregon State,1,15,"Brent Barry, 1995"
1995,ATL,Alan Henderson,Indiana,1,16,"Alan Henderson, 1995"
1995,CLE,Bob Sura,Florida State,1,17,"Bob Sura, 1995"
1995,DET,Theo Ratliff,Wyoming,1,18,"Theo Ratliff, 1995"
1995,DET,Randolph Childress,Wake Forest,1,19,"Randolph Childress, 1995"
1995,CHI,Jason Caffey,Alabama,1,20,"Jason Caffey, 1995"
1995,PHO,Michael Finley,Wisconsin,1,21,"Michael Finley, 1995"
1995,CHH,George Zídek,UCLA,1,22,"George Zídek, 1995"
1995,IND,Travis Best,Georgia Tech,1,23,"Travis Best, 1995"
1995,DAL,Loren Meyer,Iowa State,1,24,"Loren Meyer, 1995"
1995,ORL,David Vaughn,Memphis,1,25,"David Vaughn, 1995"
1995,SEA,Sherell Ford,University of Illinois at Chicago,1,26,"Sherell Ford, 1995"
1995,PHO,Mario Bennett,Arizona State,1,27,"Mario Bennett, 1995"
1995,UTA,Greg Ostertag,Kansas,1,28,"Greg Ostertag, 1995"
1995,SAS,Cory Alexander,Virginia,1,29,"Cory Alexander, 1995"
1995,DET,Lou Roe,UMass,2,30,"Lou Roe, 1995"
1995,CHI,Dragan Tarlać,No US College,2,31,"Dragan Tarlać, 1995"
1995,WSB,Terrence Rencher,Texas,2,32,"Terrence Rencher, 1995"
1995,BOS,Junior Burrough,Virginia,2,33,"Junior Burrough, 1995"
1995,GSW,Andrew DeClercq,Florida,2,34,"Andrew DeClercq, 1995"
1995,TOR,Jimmy King,Michigan,2,35,"Jimmy King, 1995"
1995,VAN,Lawrence Moten,Syracuse,2,36,"Lawrence Moten, 1995"
1995,LAL,Frankie King,Western Carolina,2,37,"Frankie King, 1995"
1995,MIL,Rashard Griffith,Wisconsin,2,38,"Rashard Griffith, 1995"
1995,CLE,Donny Marshall,UConn,2,39,"Donny Marshall, 1995"
1995,GSW,Dwayne Whitfield,Jackson State University,2,40,"Dwayne Whitfield, 1995"
1995,HOU,Erik Meek,Duke,2,41,"Erik Meek, 1995"
1995,ATL,Donnie Boyce,Colorado,2,42,"Donnie Boyce, 1995"
1995,MIL,Eric Snow,Michigan State,2,43,"Eric Snow, 1995"
1995,DEN,Anthony Pelle,Fresno State,2,44,"Anthony Pelle, 1995"
1995,ATL,Troy Brown,Providence,2,45,"Troy Brown, 1995"
1995,MIA,George Banks,Texas-El Paso,2,46,"George Banks, 1995"
1995,SAC,Tyus Edney,UCLA,2,47,"Tyus Edney, 1995"
