round,pick,predicted_player,actual_player,residual
1,1,Markelle Fultz,Markelle Fultz,0
1,2,Malik Monk,Lonzo Ball,9
1,3,Jordan Washington,Jayson Tatum,N/A
1,4,Eric Mika,Josh Jackson,N/A
1,5,Lonzo Ball,De'Aaron Fox,-3
1,6,Jayson Tatum,Jonathan Isaac,-3
1,7,Demetrius McReynolds,Lauri Markkanen,N/A
1,8,De'Aaron Fox,Frank Ntilikina,-3
1,9,Jonathan Isaac,Dennis Smith Jr.,-3
1,10,Lauri Markkanen,Zach Collins,-3
1,11,Josh Jackson,Malik Monk,-7
1,12,Zach Collins,Luke Kennard,-2
1,13,Luke Kennard,Donovan Mitchell,-1
1,14,Donovan Mitchell,Bam Adebayo,-1
1,15,Brent Calhoun,Justin Jackson,N/A
1,16,Emile Blackman,Justin Patton,N/A
1,17,Justin Patton,D.J. Wilson,-1
1,18,Mike Sagay,T.J. Leaf,N/A
1,19,D.J. Wilson,John Collins,-2
1,20,Isaiah Briscoe,Harry Giles,N/A
1,21,John Collins,Terrance Ferguson,-2
1,22,Doyin Akintobi-Adeyeye,Jarrett Allen,N/A
1,23,Martez Harrison,OG Anunoby,N/A
1,24,Harry Giles,Tyler Lydon,-4
1,25,T.J. Cromer,Anžejs Pasečņiks,N/A
1,26,Jarrett Allen,Caleb Swanigan,-4
1,27,Tim Coleman,Kyle Kuzma,N/A
1,28,Andrew White,Tony Bradley,N/A
1,29,OG Anunoby,Derrick White,-6
1,30,Tyler Lydon,Josh Hart,-6
2,31,Devin Robinson,Frank Jackson,N/A
2,32,Yohanny Dalembert,Davon Reed,N/A
2,33,Caleb Swanigan,Wesley Iwundu,-7
2,34,Kyle Kuzma,Frank Mason III,-7
2,35,Donte McGill,Ivan Rabb,N/A
2,36,Andris Misters,Jonah Bolden,N/A
2,37,Tony Bradley,Semi Ojeleye,-9
2,38,Jonathan Williams,Jordan Bell,N/A
2,39,Miles Bowman,Jawun Evans,N/A
2,40,Justin Robinson,Dwayne Bacon,N/A
2,41,Josh Hart,Tyler Dorsey,-11
2,42,Marcus Romain,Thomas Bryant,N/A
2,43,Wesley Iwundu,Isaiah Hartenstein,-10
2,44,Prince Okoroh,Damyean Dotson,N/A
2,45,Semi Ojeleye,Dillon Brooks,-8
2,46,Jordan Bell,Sterling Brown,-8
2,47,Jawun Evans,Ike Anigbogu,-8
2,48,Eric Eaves,Sindarius Thornwell,N/A
2,49,Dwayne Bacon,Vlatko Čančar,-9
2,50,Tyler Dorsey,Mathias Lessort,-9
2,51,Elijah Wilson,Monte Morris,N/A
2,52,Damyean Dotson,Edmond Sumner,-8
2,53,Dillon Brooks,Kadeem Allen,-8
2,54,Sterling Brown,Alec Peters,-8
2,55,Monte Morris,Nigel Williams-Goss,-4
2,56,Edmond Sumner,Jabari Bird,-4
2,57,Leyton Hammonds,Sasha Vezenkov,N/A
2,58,Nigel Williams-Goss,Ognjen Jaramaz,-3
2,59,Karachi Edo,Jaron Blossomgame,N/A
2,60,Jarred Jones,Alpha Kaba,N/A
