round,pick,predicted_player,actual_player
1,1,Kira Lewis,Anthony Edwards
1,2,Collin McManus,James Wiseman
1,3,Killian Tillie,LaMelo Ball
1,4,Anthony Edwards,Patrick Williams
1,5,Christian Keeling,Isaac Okoro
1,6,Daniel Oturu,Onyeka Okongwu
1,7,Yagizhan Selcuk,Killian Hayes
1,8,Nathan Knight,Obi Toppin
1,9,Shamarkus Kennedy,Deni Avdija
1,10,Cletrell Pope,Jalen Smith
1,11,C.J. Jones,Devin Vassell
1,12,Scottie James,Tyrese Haliburton
1,13,Cal Reichwein,Kira Lewis Jr.
1,14,Precious Achiuwa,Aaron Nesmith
1,15,Nico Mannion,Cole Anthony
1,16,Jacara Cross,Isaiah Stewart
1,17,Tyrell Terry,Aleksej Pokusevski
1,18,Anthony Lamb,Josh Green
1,19,Kamar Baldwin,Saddiq Bey
1,20,Tahjai Teague,Precious Achiuwa
1,21,Cam Jones,Tyrese Maxey
1,22,Saddiq Bey,Zeke Nnaji
1,23,Jamir Thomas,Leandro Bolmaro
1,24,Mason Jones,R.J. Hampton
1,25,Isaiah Bailey,Immanuel Quickley
1,26,Ivan Gandia-Rosa,Payton Pritchard
1,27,JaQuan Lyle,Udoka Azubuike
1,28,DeShaw Andrews,Jaden McDaniels
1,29,Devonte Bandoo,Malachi Flynn
1,30,Emmanuel Dowuona,Desmond Bane
2,31,Max Lorca-Lloyd,Tyrell Terry
2,32,James Ellis,Vernon Carey Jr.
2,33,Austin Wiley,Daniel Oturu
2,34,Markus Howard,Théo Maledon
2,35,Paul Atkinson,Xavier Tillman Sr.
2,36,Georgie Pacheco-Ortiz,Tyler Bey
2,37,Desmond Bane,Vit Krejci
2,38,Braun Hartfield,Saben Lee
2,39,Issac Vann,Elijah Hughes
2,40,Jordan Ford,Robert Woodard
2,41,Brandon Austin,Tre Jones
2,42,DaQuan Bracey,Nick Richards
2,43,Cassius Winston,Jahmi'us Ramsey
2,44,Tray Boyd,Marko Simonovic
2,45,Evan Boudreaux,Jordan Nwora
2,46,Tyler Hagedorn,CJ Elleby
2,47,Malik Fitts,Yam Madar
2,48,Makol Mawien,Nico Mannion
2,49,Laquincy Rideau,Isaiah Joe
2,50,Xavier Tillman,Skylar Mays
2,51,Desure Buie,Justinian Jessup
2,52,Josh Williams,Kenyon Martin Jr.
2,53,Jaire Grayer,Cassius Winston
2,54,John Mooney,Cassius Stanley
2,55,Naji Marshall,Jay Scrubb
2,56,Devine Eke,Grant Riller
2,57,Cyril Langevine,Reggie Perry
2,58,Tyrik Armstrong,Paul Reed
2,59,Deondre Burns,Jalen Harris
2,60,Tre Jones,Sam Merrill
