,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,2008-09,Sam Houston State,Southland,30,30,876.0,4.3,8.1,0.531,4.0,7.3,0.547,0.3,0.8,0.389,3.0,4.8,0.629,11.1,1.6,1.1,0.5,2.6,3.8,11.9,Barkley Falkner
2,Career,Sam Houston State,,60,30,1187.0,4.0,7.8,0.509,3.7,7.1,0.526,0.2,0.7,0.33299999999999996,3.3,5.2,0.636,10.3,1.5,1.1,0.5,2.5,4.3,11.5,Barkley Falkner
0,1998-99,Akron,MAC,27,,,,,0.40399999999999997,,,0.47100000000000003,,,0.395,,,0.75,,,,,,,,David Falknor
1,1999-00,Akron,MAC,26,26.0,,,,0.35200000000000004,,,0.308,,,0.36200000000000004,,,0.889,,,,,,,,David Falknor
2,2000-01,Akron,MAC,22,6.0,,,,0.515,,,0.467,,,0.54,,,0.9229999999999999,,,,,,,,David Falknor
3,2001-02,Akron,MAC,28,6.0,683.0,6.1,14.1,0.43200000000000005,1.6,4.1,0.4,4.5,10.0,0.444,2.8,3.2,0.873,5.0,2.5,1.5,0.2,1.8,2.6,19.4,David Falknor
4,Career,Akron,,103,38.0,683.0,14.9,34.3,0.434,3.6,8.5,0.42100000000000004,11.3,25.8,0.439,5.2,6.0,0.873,13.6,6.9,3.0,0.4,3.5,4.5,46.3,David Falknor
0,2020-21,Gardner-Webb,Big South,26,26,754.0,4.8,11.8,0.41,3.4,7.2,0.48100000000000004,1.4,4.6,0.299,2.5,3.1,0.797,6.7,2.6,1.9,0.2,1.9,2.8,13.5,Jacob Falko
1,Career,Gardner-Webb,,26,26,754.0,4.8,11.8,0.41,3.4,7.2,0.48100000000000004,1.4,4.6,0.299,2.5,3.1,0.797,6.7,2.6,1.9,0.2,1.9,2.8,13.5,Jacob Falko
0,2012-13,Nevada,MWC,22,0,207.0,2.9,7.0,0.41700000000000004,2.9,7.0,0.41700000000000004,0.0,0.0,,1.9,3.5,0.556,6.8,1.5,0.2,0.2,2.3,5.4,7.7,Ali Fall
1,2013-14,Nevada,MWC,24,8,336.0,2.9,6.5,0.436,2.9,6.5,0.436,0.0,0.0,,2.4,3.1,0.769,5.7,1.0,0.4,1.5,3.3,8.1,8.1,Ali Fall
2,Career,Nevada,,46,8,543.0,2.9,6.7,0.429,2.9,6.7,0.429,0.0,0.0,,2.2,3.2,0.682,6.1,1.2,0.3,1.0,2.9,7.1,8.0,Ali Fall
0,2013-14,St. Francis (NY),NEC,32,2,539.0,4.2,9.3,0.456,4.2,9.3,0.456,0.0,0.0,,3.9,5.9,0.6579999999999999,9.3,0.4,0.7,4.1,2.6,5.4,12.3,Amdy Fall
1,2014-15,St. Francis (NY),NEC,29,7,676.0,3.3,6.9,0.483,3.3,6.9,0.483,0.0,0.0,,4.5,6.4,0.7040000000000001,8.5,1.1,1.3,4.7,2.2,4.9,11.1,Amdy Fall
2,2015-16,St. Francis (NY),NEC,32,32,786.0,3.0,6.5,0.45299999999999996,3.0,6.5,0.45299999999999996,0.0,0.0,,3.3,5.1,0.634,11.0,1.3,1.3,3.8,2.4,4.8,9.2,Amdy Fall
3,Career,St. Francis (NY),,93,41,2001.0,3.4,7.4,0.46299999999999997,3.4,7.4,0.46299999999999997,0.0,0.0,,3.8,5.8,0.667,9.7,1.0,1.2,4.2,2.4,5.0,10.7,Amdy Fall
0,2005-06,SMU,CUSA,18,14,434.0,3.0,6.3,0.485,3.0,6.3,0.485,0.0,0.0,,3.6,5.9,0.609,6.7,1.0,0.5,4.9,2.8,4.8,9.7,Bamba Fall
1,2006-07,SMU,CUSA,25,11,541.0,5.0,9.2,0.544,5.0,9.2,0.54,0.1,0.1,1.0,3.0,4.4,0.667,8.7,1.0,0.5,4.6,3.0,4.8,13.1,Bamba Fall
2,2007-08,SMU,CUSA,30,14,808.0,6.1,10.8,0.5660000000000001,6.1,10.8,0.5660000000000001,0.0,0.0,,5.2,7.3,0.7140000000000001,8.3,0.7,0.4,3.1,3.0,4.2,17.5,Bamba Fall
3,2008-09,SMU,CUSA,30,26,832.0,4.8,8.3,0.5760000000000001,4.8,8.3,0.5760000000000001,0.0,0.0,,3.3,5.0,0.67,10.5,1.1,0.7,3.2,3.4,4.0,12.8,Bamba Fall
4,Career,SMU,,103,65,2615.0,5.0,8.9,0.555,4.9,8.9,0.5539999999999999,0.0,0.0,1.0,3.9,5.7,0.6759999999999999,8.8,0.9,0.5,3.7,3.1,4.4,13.8,Bamba Fall
0,1997-98,LIU,NEC,26,,,,,0.467,,,0.467,,,,,,0.231,,,,,,,,Cheikh Fall
1,1998-99,LIU,NEC,8,,,,,0.33299999999999996,,,0.33299999999999996,,,,,,0.375,,,,,,,,Cheikh Fall
2,1999-00,LIU,NEC,26,26.0,,,,0.485,,,0.489,,,0.0,,,0.66,,,,,,,,Cheikh Fall
3,2000-01,LIU,NEC,24,15.0,,,,0.489,,,0.489,,,,,,0.654,,,,,,,,Cheikh Fall
4,Career,LIU,,84,41.0,,,,0.473,,,0.474,,,0.0,,,0.552,,,,,,,,Cheikh Fall
0,2011-12,Montana State,Big Sky,28,26,682.0,4.6,8.9,0.517,4.6,8.9,0.517,0.0,0.0,,2.7,3.3,0.807,8.9,1.5,0.9,2.1,2.5,5.0,11.8,Mohammed Fall
1,Career,Montana State,,28,26,682.0,4.6,8.9,0.517,4.6,8.9,0.517,0.0,0.0,,2.7,3.3,0.807,8.9,1.5,0.9,2.1,2.5,5.0,11.8,Mohammed Fall
0,2006-07,Gardner-Webb,A-Sun,10,2,132.0,3.6,7.9,0.462,3.6,7.9,0.462,0.0,0.0,,1.2,3.6,0.33299999999999996,9.1,1.2,0.9,0.9,4.5,6.1,8.5,Samba Fall
1,2007-08,Gardner-Webb,A-Sun,27,2,232.0,1.9,3.8,0.5,1.9,3.8,0.5,0.0,0.0,,1.6,3.1,0.5,8.1,0.5,0.5,1.7,1.9,7.6,5.3,Samba Fall
2,Career,Gardner-Webb,,37,4,364.0,2.5,5.3,0.479,2.5,5.3,0.479,0.0,0.0,,1.4,3.3,0.433,8.5,0.8,0.7,1.4,2.9,7.0,6.5,Samba Fall
0,2015-16,UCF,AAC,30,26,529.0,7.3,9.7,0.75,7.3,9.7,0.75,0.0,0.0,,2.2,3.9,0.5579999999999999,13.3,0.8,0.2,5.3,3.7,5.7,16.7,Tacko Fall
1,2016-17,UCF,AAC,36,36,947.0,7.1,9.9,0.715,7.1,9.9,0.718,0.0,0.0,0.0,2.3,5.0,0.462,14.5,0.8,0.4,4.0,3.8,3.8,16.5,Tacko Fall
2,2017-18,UCF,AAC,16,15,351.0,9.0,11.7,0.767,9.0,11.7,0.767,0.0,0.0,,2.6,5.7,0.46,13.3,0.6,0.6,3.5,4.8,4.7,20.6,Tacko Fall
3,2018-19,UCF,AAC,33,33,822.0,7.5,10.0,0.748,7.5,10.0,0.748,0.0,0.0,,2.9,7.9,0.36200000000000004,12.2,0.7,0.4,4.1,2.9,4.5,17.9,Tacko Fall
4,Career,UCF,,115,110,2649.0,7.5,10.1,0.74,7.5,10.1,0.741,0.0,0.0,0.0,2.5,5.8,0.43200000000000005,13.4,0.8,0.4,4.2,3.6,4.5,17.5,Tacko Fall
0,2013-14,Cornell,Ivy,14,0,56.0,1.4,7.9,0.182,1.4,2.9,0.5,0.0,5.0,0.0,1.4,2.9,0.5,5.0,0.7,0.7,0.0,4.3,3.6,4.3,JoJo Fallas
1,2014-15,Cornell,Ivy,30,0,358.0,3.7,10.3,0.359,0.8,1.8,0.43799999999999994,2.9,8.5,0.342,0.6,0.8,0.7140000000000001,3.2,1.8,1.5,0.1,1.6,3.4,10.8,JoJo Fallas
2,2015-16,Cornell,Ivy,27,2,442.0,4.3,11.1,0.382,1.3,4.1,0.311,3.0,7.1,0.423,0.6,1.0,0.636,3.4,2.4,1.6,0.1,1.3,4.1,12.1,JoJo Fallas
3,2016-17,Cornell,Ivy,29,23,630.0,2.1,6.3,0.33,0.3,1.2,0.263,1.8,5.1,0.34600000000000003,0.9,1.0,0.9329999999999999,3.3,2.7,1.1,0.0,1.8,3.6,6.9,JoJo Fallas
4,Career,Cornell,,100,25,1486.0,3.1,8.8,0.353,0.8,2.3,0.33299999999999996,2.3,6.5,0.36,0.8,1.0,0.757,3.4,2.3,1.3,0.1,1.7,3.7,9.3,JoJo Fallas
0,2011-12,Pacific,Big West,13,1,107.0,3.4,15.0,0.225,1.1,3.7,0.3,2.2,11.2,0.2,1.5,3.0,0.5,6.0,2.6,1.5,0.4,2.6,3.7,10.5,Markcus Falley
1,Career,Pacific,,13,1,107.0,3.4,15.0,0.225,1.1,3.7,0.3,2.2,11.2,0.2,1.5,3.0,0.5,6.0,2.6,1.5,0.4,2.6,3.7,10.5,Markcus Falley
0,2003-04,Notre Dame,Big East,32,8,499.0,3.8,9.2,0.409,0.8,1.7,0.47600000000000003,3.0,7.5,0.39399999999999996,1.3,1.8,0.696,3.4,2.2,0.9,0.2,1.1,3.0,11.8,Colin Falls
1,2004-05,Notre Dame,Big East,29,22,901.0,4.5,11.6,0.387,0.4,1.6,0.222,4.1,10.0,0.413,3.1,3.5,0.897,2.7,1.8,1.1,0.3,1.2,2.7,16.2,Colin Falls
2,2005-06,Notre Dame,Big East,30,30,1057.0,4.9,12.2,0.39899999999999997,1.0,2.5,0.409,3.9,9.7,0.397,2.1,2.6,0.797,2.5,2.0,0.7,0.3,1.6,2.3,15.7,Colin Falls
3,2006-07,Notre Dame,Big East,30,30,1027.0,5.4,12.2,0.439,1.5,2.5,0.609,3.9,9.7,0.396,3.3,4.0,0.833,3.3,2.8,1.2,0.2,1.6,2.6,17.9,Colin Falls
4,Career,Notre Dame,,121,90,3484.0,4.8,11.6,0.41,1.0,2.1,0.449,3.8,9.5,0.401,2.6,3.1,0.831,2.9,2.2,1.0,0.3,1.4,2.6,15.9,Colin Falls
0,2017-18,Montana,Big Sky,33,0,563.0,3.4,8.2,0.414,1.8,4.4,0.419,1.6,3.8,0.40700000000000003,1.8,2.6,0.722,2.3,3.6,1.8,0.1,2.9,5.5,10.2,Timmy Falls
1,2018-19,Montana,Big Sky,33,8,662.0,3.1,8.1,0.381,1.5,3.6,0.424,1.6,4.5,0.34700000000000003,1.6,2.1,0.765,3.2,4.4,1.6,0.4,3.6,5.3,9.3,Timmy Falls
2,2019-20,Montana,Big Sky,31,27,919.0,3.4,8.1,0.41600000000000004,2.4,5.4,0.43200000000000005,1.0,2.6,0.38299999999999995,1.2,1.8,0.659,3.0,3.8,1.7,0.5,2.4,4.6,8.9,Timmy Falls
3,Career,Montana,,97,35,2144.0,3.3,8.1,0.405,2.0,4.6,0.42700000000000005,1.3,3.5,0.376,1.5,2.1,0.7120000000000001,2.9,4.0,1.7,0.4,2.9,5.1,9.4,Timmy Falls
0,2018-19,Tulsa,AAC,21,0,124.0,3.2,7.4,0.435,3.2,7.4,0.435,0.0,0.0,,4.8,9.0,0.536,10.0,0.6,0.6,2.3,4.8,7.7,11.3,Simon Falokun
1,Career,Tulsa,,21,0,124.0,3.2,7.4,0.435,3.2,7.4,0.435,0.0,0.0,,4.8,9.0,0.536,10.0,0.6,0.6,2.3,4.8,7.7,11.3,Simon Falokun
0,2000-01,Butler,MW Coll,5,0,4.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,,30.0,50.0,0.6,0.0,0.0,10.0,0.0,0.0,0.0,30.0,R Falquist
1,Career,Butler,,5,0,4.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,,30.0,50.0,0.6,0.0,0.0,10.0,0.0,0.0,0.0,30.0,R Falquist
0,1999-00,Texas Tech,Big 12,9,0,80.0,1.5,4.5,0.33299999999999996,1.5,4.5,0.33299999999999996,0.0,0.0,,2.0,3.0,0.667,5.0,0.0,0.5,0.5,1.5,3.0,5.0,Josh Faltesek
1,Career,Texas Tech,,9,0,80.0,1.5,4.5,0.33299999999999996,1.5,4.5,0.33299999999999996,0.0,0.0,,2.0,3.0,0.667,5.0,0.0,0.5,0.5,1.5,3.0,5.0,Josh Faltesek
0,2001-02,Valparaiso,Mid-Cont,15,10,402.0,7.3,17.2,0.42200000000000004,5.9,11.2,0.522,1.4,6.0,0.233,2.6,3.6,0.722,3.2,4.7,1.1,0.0,2.9,1.0,18.5,Antonio Falu
1,Career,Valparaiso,,15,10,402.0,7.3,17.2,0.42200000000000004,5.9,11.2,0.522,1.4,6.0,0.233,2.6,3.6,0.722,3.2,4.7,1.1,0.0,2.9,1.0,18.5,Antonio Falu
0,2015-16,Northwestern,Big Ten,32,29,785.0,4.4,11.6,0.38299999999999995,1.2,2.5,0.49,3.2,9.1,0.354,1.7,2.3,0.7170000000000001,5.6,1.4,0.6,0.5,1.1,3.8,13.8,Aaron Falzon
1,2016-17,Northwestern,Big Ten,3,0,20.0,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,,4.0,6.0,0.0,2.0,2.0,2.0,0.0,Aaron Falzon
2,2017-18,Northwestern,Big Ten,28,10,447.0,4.0,11.5,0.349,0.8,3.0,0.273,3.2,8.6,0.375,2.6,3.0,0.853,4.3,1.3,0.8,0.5,1.3,3.3,13.9,Aaron Falzon
3,2018-19,Northwestern,Big Ten,17,4,264.0,3.2,10.2,0.313,0.3,1.1,0.28600000000000003,2.9,9.1,0.317,0.8,0.9,0.833,4.1,1.5,0.9,0.8,1.5,3.6,10.0,Aaron Falzon
4,2019-20,Quinnipiac,MAAC,30,16,721.0,4.4,11.3,0.39399999999999996,1.3,2.3,0.5710000000000001,3.1,8.9,0.348,0.9,1.1,0.85,4.9,1.2,1.0,0.8,1.3,3.1,12.9,Aaron Falzon
5,Career,Overall,,110,59,2237.0,4.2,11.2,0.37,1.1,2.3,0.45,3.1,8.9,0.349,1.5,1.9,0.792,4.9,1.4,0.8,0.6,1.3,3.4,12.9,Aaron Falzon
6,,Northwestern,,80,43,1516.0,4.0,11.2,0.359,0.9,2.3,0.39299999999999996,3.1,8.9,0.35,1.8,2.3,0.779,4.9,1.5,0.7,0.6,1.2,3.6,13.0,Aaron Falzon
7,,Quinnipiac,,30,16,721.0,4.4,11.3,0.39399999999999996,1.3,2.3,0.5710000000000001,3.1,8.9,0.348,0.9,1.1,0.85,4.9,1.2,1.0,0.8,1.3,3.1,12.9,Aaron Falzon
0,2012-13,Sacred Heart,NEC,21,0,337.0,4.0,11.4,0.354,3.9,10.7,0.36700000000000005,0.1,0.7,0.16699999999999998,4.7,6.5,0.727,9.0,1.1,0.6,0.6,2.4,4.3,12.9,Tevin Falzon
1,2013-14,Sacred Heart,NEC,29,0,452.0,3.1,11.0,0.282,3.0,9.4,0.321,0.1,1.6,0.055999999999999994,3.3,4.2,0.7709999999999999,10.5,1.2,1.1,0.8,1.9,5.1,9.6,Tevin Falzon
2,2014-15,Sacred Heart,NEC,32,21,722.0,4.8,11.3,0.426,4.7,10.4,0.449,0.2,0.9,0.17600000000000002,4.6,6.7,0.6859999999999999,13.4,1.4,1.4,2.7,3.0,4.2,14.4,Tevin Falzon
3,2015-16,Sacred Heart,NEC,25,22,762.0,4.3,11.4,0.373,3.3,8.1,0.406,0.9,3.3,0.29,4.8,6.0,0.8,10.9,2.0,0.4,1.9,1.8,3.7,14.3,Tevin Falzon
4,Career,Sacred Heart,,107,43,2273.0,4.2,11.3,0.37,3.8,9.5,0.39799999999999996,0.4,1.8,0.223,4.4,6.0,0.743,11.3,1.5,0.9,1.7,2.3,4.2,13.2,Tevin Falzon
0,2003-04,Arizona State,Pac-10,26,11,372.0,4.5,10.2,0.442,4.1,9.6,0.42700000000000005,0.4,0.6,0.667,2.4,4.0,0.595,9.9,1.9,0.9,0.9,1.6,5.2,11.8,Wil Fameni
1,2004-05,Arizona State,Pac-10,23,0,155.0,4.9,10.8,0.452,4.9,10.6,0.46299999999999997,0.0,0.3,0.0,1.0,2.1,0.5,8.0,2.8,0.5,0.5,4.6,4.4,10.8,Wil Fameni
2,2006-07,VCU,CAA,35,29,901.0,5.5,11.3,0.48200000000000004,5.4,11.2,0.484,0.0,0.1,0.33299999999999996,2.9,4.8,0.617,8.4,1.4,1.2,1.5,2.3,4.9,13.9,Wil Fameni
3,2007-08,VCU,CAA,25,10,443.0,3.5,8.1,0.433,3.5,7.7,0.45899999999999996,0.0,0.5,0.0,3.2,5.1,0.625,8.5,1.3,0.9,0.8,2.5,4.2,10.2,Wil Fameni
4,Career,Overall,,109,50,1871.0,4.8,10.3,0.46299999999999997,4.7,10.0,0.467,0.1,0.3,0.33299999999999996,2.7,4.4,0.611,8.7,1.6,1.0,1.1,2.4,4.7,12.4,Wil Fameni
5,,Arizona State,,49,11,527.0,4.6,10.4,0.445,4.3,9.9,0.43799999999999994,0.3,0.5,0.5710000000000001,2.0,3.4,0.578,9.3,2.2,0.8,0.8,2.5,4.9,11.5,Wil Fameni
