,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,player
0,1993-94,Miami (OH),MAC,8,0,21.0,5.7,24.8,0.231,0.0,5.7,0.0,5.7,19.0,0.3,0.0,0.0,,3.8,0.0,0.0,0.0,0.0,5.7,17.1,Puncho Farquharson
1,Career,Miami (OH),,8,0,21.0,5.7,24.8,0.231,0.0,5.7,0.0,5.7,19.0,0.3,0.0,0.0,,3.8,0.0,0.0,0.0,0.0,5.7,17.1,Puncho Farquharson
0,2011-12,Utah,Pac-12,31,24,803.0,4.2,8.9,0.469,3.3,6.5,0.504,0.9,2.4,0.375,1.1,2.0,0.561,7.4,0.7,1.3,0.8,2.1,3.3,10.4,Dilon Farr
1,Career,Utah,,31,24,803.0,4.2,8.9,0.469,3.3,6.5,0.504,0.9,2.4,0.375,1.1,2.0,0.561,7.4,0.7,1.3,0.8,2.1,3.3,10.4,Dilon Farr
0,2012-13,Xavier,A-10,13,0,42.0,6.7,17.1,0.389,4.8,9.5,0.5,1.9,7.6,0.25,0.0,0.0,,13.3,0.0,1.0,1.9,1.0,6.7,15.2,James Farr
1,2013-14,Xavier,Big East,34,1,420.0,6.0,11.6,0.516,4.2,6.9,0.611,1.8,4.8,0.38,1.0,1.9,0.55,12.7,0.6,1.1,2.2,1.6,5.9,14.9,James Farr
2,2014-15,Xavier,Big East,37,26,578.0,4.4,10.4,0.42700000000000005,3.5,7.3,0.486,0.9,3.1,0.289,1.0,2.2,0.469,13.6,1.0,0.9,2.0,2.7,4.4,10.8,James Farr
3,2015-16,Xavier,Big East,34,4,700.0,8.2,15.1,0.545,8.2,14.6,0.5589999999999999,0.1,0.5,0.125,4.3,5.9,0.728,15.2,1.1,1.5,1.9,2.6,4.7,20.8,James Farr
4,Career,Xavier,,118,31,1740.0,6.4,12.7,0.502,5.6,10.2,0.5489999999999999,0.8,2.6,0.315,2.3,3.6,0.652,14.0,0.9,1.2,2.0,2.4,4.9,15.9,James Farr
0,2004-05,Montana,Big Sky,29,12,526.0,3.3,8.5,0.39299999999999996,2.7,6.8,0.4,0.6,1.7,0.364,3.0,5.0,0.606,6.5,3.9,0.8,0.2,4.9,2.2,10.3,Lamarr Farr
1,Career,Montana,,29,12,526.0,3.3,8.5,0.39299999999999996,2.7,6.8,0.4,0.6,1.7,0.364,3.0,5.0,0.606,6.5,3.9,0.8,0.2,4.9,2.2,10.3,Lamarr Farr
0,2018-19,Wichita State,AAC,11,0,33.0,1.2,12.1,0.1,1.2,9.7,0.125,0.0,2.4,0.0,0.0,0.0,,3.6,0.0,0.0,0.0,1.2,3.6,2.4,Eli Farrakhan
1,Career,Wichita State,,11,0,33.0,1.2,12.1,0.1,1.2,9.7,0.125,0.0,2.4,0.0,0.0,0.0,,3.6,0.0,0.0,0.0,1.2,3.6,2.4,Eli Farrakhan
0,2007-08,Virginia,ACC,19,0,115.0,2.4,13.2,0.184,1.7,7.7,0.22699999999999998,0.7,5.6,0.125,0.3,1.7,0.2,5.2,1.7,0.7,0.0,4.2,3.1,5.9,Mustapha Farrakhan
1,2008-09,Virginia,ACC,23,2,239.0,5.5,15.9,0.34700000000000003,3.2,9.0,0.35200000000000004,2.3,6.9,0.341,3.0,3.3,0.9,2.7,2.3,0.7,0.3,3.5,4.7,16.4,Mustapha Farrakhan
2,2009-10,Virginia,ACC,30,10,631.0,3.9,11.0,0.358,2.5,6.3,0.39399999999999996,1.5,4.7,0.311,3.0,3.8,0.7829999999999999,3.3,3.7,1.0,0.4,2.8,2.0,12.3,Mustapha Farrakhan
3,2010-11,Virginia,ACC,31,27,956.0,5.5,13.1,0.42,3.4,7.4,0.461,2.1,5.7,0.368,4.4,5.6,0.7759999999999999,3.7,2.4,0.9,0.4,2.8,2.1,17.5,Mustapha Farrakhan
4,Career,Virginia,,103,39,1941.0,4.8,12.8,0.377,3.0,7.3,0.41100000000000003,1.8,5.5,0.33299999999999996,3.5,4.5,0.7759999999999999,3.5,2.8,0.9,0.4,3.0,2.5,15.0,Mustapha Farrakhan
0,2020-21,East Carolina,AAC,12,0,121.0,4.6,11.6,0.4,3.0,6.6,0.45,1.7,5.0,0.33299999999999996,1.0,1.3,0.75,3.6,4.0,0.7,0.0,3.3,3.0,11.9,Noah Farrakhan
1,Career,East Carolina,,12,0,121.0,4.6,11.6,0.4,3.0,6.6,0.45,1.7,5.0,0.33299999999999996,1.0,1.3,0.75,3.6,4.0,0.7,0.0,3.3,3.0,11.9,Noah Farrakhan
0,2018-19,Alabama State,SWAC,21,4,328.0,8.5,14.1,0.603,7.2,10.5,0.6859999999999999,1.3,3.7,0.36700000000000005,3.5,5.6,0.63,12.9,0.9,1.1,1.2,1.5,4.9,22.0,AJ Farrar
1,2019-20,Alabama State,SWAC,26,1,364.0,5.4,11.2,0.48,4.3,7.4,0.5820000000000001,1.1,3.8,0.28600000000000003,1.2,2.3,0.524,9.9,1.8,1.3,0.8,2.2,5.7,13.1,AJ Farrar
2,Career,Alabama State,,47,5,692.0,6.9,12.6,0.546,5.7,8.8,0.6409999999999999,1.2,3.8,0.32299999999999995,2.3,3.9,0.597,11.3,1.3,1.2,1.0,1.8,5.3,17.3,AJ Farrar
0,2020-21,NC State,ACC,7,0,23.0,3.5,7.0,0.5,3.5,7.0,0.5,0.0,0.0,,1.7,7.0,0.25,1.7,0.0,1.7,1.7,1.7,3.5,8.7,Nick Farrar
1,Career,NC State,,7,0,23.0,3.5,7.0,0.5,3.5,7.0,0.5,0.0,0.0,,1.7,7.0,0.25,1.7,0.0,1.7,1.7,1.7,3.5,8.7,Nick Farrar
0,2004-05,Loyola (MD),MAAC,28,27,822.0,4.0,10.6,0.376,3.4,7.7,0.43700000000000006,0.6,2.9,0.217,2.4,3.9,0.605,5.5,3.2,1.0,0.3,3.9,2.7,11.0,Brad Farrell
1,2005-06,Loyola (MD),MAAC,28,9,545.0,4.6,8.1,0.5589999999999999,4.3,6.9,0.628,0.2,1.2,0.17600000000000002,2.3,3.0,0.78,6.7,2.0,1.6,0.4,2.3,4.3,11.7,Brad Farrell
2,2008-09,Loyola (MD),MAAC,28,10,401.0,2.2,6.5,0.33799999999999997,2.1,6.0,0.35,0.1,0.5,0.2,0.9,1.2,0.75,6.1,1.2,1.3,0.5,2.4,4.9,5.4,Brad Farrell
3,Career,Loyola (MD),,84,46,1768.0,3.8,8.9,0.42100000000000004,3.4,7.1,0.478,0.4,1.9,0.207,2.0,3.0,0.672,6.0,2.4,1.3,0.4,3.1,3.7,9.9,Brad Farrell
0,1999-00,McNeese State,Southland,21,21,,,,0.368,,,0.391,,,0.273,,,0.636,,,,,,,,Chris Farrell
1,2000-01,McNeese State,Southland,1,0,,,,0.33299999999999996,,,0.5,,,0.0,,,0.5,,,,,,,,Chris Farrell
2,Career,McNeese State,,22,21,,,,0.36700000000000005,,,0.396,,,0.25,,,0.615,,,,,,,,Chris Farrell
0,2011-12,St. Bonaventure,A-10,3,0,5.0,8.0,16.0,0.5,0.0,8.0,0.0,8.0,8.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,24.0,Danny Farrell
1,2012-13,St. Bonaventure,A-10,2,0,3.0,0.0,13.3,0.0,0.0,0.0,,0.0,13.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.3,0.0,0.0,Danny Farrell
2,2013-14,St. Bonaventure,A-10,4,0,4.0,0.0,40.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,10.0,0.0,0.0,Danny Farrell
3,Career,St. Bonaventure,,9,0,12.0,3.3,23.3,0.14300000000000002,0.0,10.0,0.0,3.3,13.3,0.25,0.0,6.7,0.0,3.3,0.0,0.0,0.0,13.3,0.0,10.0,Danny Farrell
0,2009-10,UMass,A-10,29,13,508.0,3.9,10.6,0.373,3.5,9.3,0.373,0.5,1.3,0.375,2.0,3.1,0.667,8.2,3.3,2.0,0.6,2.6,6.7,10.4,Javorn Farrell
1,2010-11,UMass,A-10,28,16,713.0,4.8,13.2,0.366,4.8,12.5,0.381,0.1,0.7,0.083,3.7,5.2,0.7170000000000001,6.4,3.6,1.3,0.3,3.4,4.9,13.4,Javorn Farrell
2,2011-12,UMass,A-10,36,9,775.0,4.0,10.7,0.375,2.9,7.5,0.39299999999999996,1.1,3.3,0.33299999999999996,2.5,3.5,0.706,5.1,4.5,2.0,0.4,3.5,4.4,11.6,Javorn Farrell
3,2013-14,Texas-Rio Grande Valley,WAC,28,27,941.0,6.5,16.1,0.406,5.4,11.5,0.47,1.1,4.6,0.248,4.9,6.6,0.742,6.4,3.9,2.0,0.7,3.3,3.7,19.1,Javorn Farrell
4,Career,Overall,,121,65,2937.0,5.0,13.0,0.385,4.3,10.3,0.414,0.7,2.7,0.275,3.5,4.8,0.72,6.4,3.9,1.8,0.5,3.2,4.7,14.2,Javorn Farrell
5,,UMass,,93,38,1996.0,4.3,11.6,0.371,3.7,9.7,0.38299999999999995,0.6,1.8,0.308,2.8,4.0,0.7040000000000001,6.3,3.9,1.8,0.4,3.2,5.2,11.9,Javorn Farrell
6,,Texas-Rio Grande Valley,,28,27,941.0,6.5,16.1,0.406,5.4,11.5,0.47,1.1,4.6,0.248,4.9,6.6,0.742,6.4,3.9,2.0,0.7,3.3,3.7,19.1,Javorn Farrell
0,1996-97,Florida A&M,MEAC,22,,,,,0.2,,,0.182,,,0.25,,,0.556,,,,,,,,Kelvin Farrell
1,Career,Florida A&M,,22,,,,,0.2,,,0.182,,,0.25,,,0.556,,,,,,,,Kelvin Farrell
0,2014-15,Notre Dame,ACC,15,0,62.0,1.9,8.4,0.231,1.3,4.5,0.28600000000000003,0.6,3.9,0.16699999999999998,4.5,5.2,0.875,3.9,4.5,1.3,0.0,1.9,1.9,9.0,Matt Farrell
1,2015-16,Notre Dame,ACC,28,4,374.0,2.5,6.7,0.365,1.3,3.1,0.414,1.2,3.6,0.324,1.6,1.8,0.882,2.2,4.8,0.5,0.0,1.8,2.7,7.7,Matt Farrell
2,2016-17,Notre Dame,ACC,36,36,1238.0,5.6,12.4,0.44799999999999995,2.9,6.2,0.47600000000000003,2.6,6.2,0.42,2.6,3.3,0.794,2.3,6.3,1.6,0.2,2.9,2.3,16.3,Matt Farrell
3,2017-18,Notre Dame,ACC,31,31,1111.0,6.0,14.8,0.41,2.5,5.4,0.467,3.5,9.4,0.377,2.6,3.1,0.816,2.7,6.1,1.2,0.1,2.7,1.7,18.2,Matt Farrell
4,Career,Notre Dame,,110,71,2785.0,5.3,12.5,0.42100000000000004,2.5,5.4,0.46399999999999997,2.7,7.1,0.387,2.5,3.1,0.813,2.5,6.0,1.3,0.1,2.7,2.1,15.8,Matt Farrell
0,2000-01,Lafayette,Patriot,28,4,361.0,4.9,9.6,0.506,4.2,7.0,0.603,0.7,2.7,0.25,2.2,3.1,0.7140000000000001,8.3,3.1,0.6,0.3,2.2,5.2,12.6,Mike Farrell
1,2001-02,Lafayette,Patriot,29,28,682.0,5.7,10.1,0.57,5.4,8.7,0.617,0.4,1.3,0.261,5.2,7.0,0.733,8.0,1.3,0.9,0.5,2.3,4.8,17.0,Mike Farrell
2,2002-03,Lafayette,Patriot,29,28,867.0,4.6,8.3,0.55,3.8,6.6,0.585,0.7,1.8,0.42100000000000004,2.4,3.4,0.726,8.9,2.8,0.6,0.4,2.3,2.9,12.3,Mike Farrell
3,2003-04,Lafayette,Patriot,28,27,715.0,4.6,7.7,0.606,4.2,6.2,0.682,0.4,1.5,0.29600000000000004,3.1,4.3,0.727,9.1,3.3,0.8,0.5,3.3,4.1,12.9,Mike Farrell
4,Career,Lafayette,,114,87,2625.0,4.9,8.8,0.563,4.4,7.1,0.621,0.5,1.7,0.321,3.3,4.5,0.728,8.6,2.6,0.7,0.5,2.6,4.1,13.7,Mike Farrell
0,2012-13,NJIT,GWC,8,1,99.0,5.7,12.9,0.43799999999999994,2.4,4.4,0.545,3.2,8.5,0.381,2.8,4.0,0.7,6.9,0.8,2.4,0.4,2.8,3.2,17.4,Mitch Farrell
1,Career,NJIT,,8,1,99.0,5.7,12.9,0.43799999999999994,2.4,4.4,0.545,3.2,8.5,0.381,2.8,4.0,0.7,6.9,0.8,2.4,0.4,2.8,3.2,17.4,Mitch Farrell
0,2012-13,Villanova,Big East,3,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,10.0,20.0,0.5,0.0,0.0,0.0,0.0,0.0,20.0,10.0,Patrick Farrell
1,2013-14,Villanova,Big East,8,0,12.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.3,10.0,0.33299999999999996,6.7,0.0,3.3,0.0,0.0,0.0,3.3,Patrick Farrell
2,2014-15,Villanova,Big East,15,0,27.0,1.5,7.4,0.2,0.0,0.0,,1.5,7.4,0.2,0.0,0.0,,4.4,1.5,3.0,0.0,4.4,1.5,4.4,Patrick Farrell
3,2015-16,Villanova,Big East,16,0,30.0,2.7,6.7,0.4,0.0,0.0,,2.7,6.7,0.4,0.0,0.0,,4.0,1.3,0.0,0.0,1.3,2.7,8.0,Patrick Farrell
4,Career,Villanova,,42,0,73.0,1.6,5.5,0.3,0.0,0.0,,1.6,5.5,0.3,1.1,2.7,0.4,4.4,1.1,1.6,0.0,2.2,2.7,6.0,Patrick Farrell
0,2001-02,DePaul,CUSA,3,0,3.0,13.3,53.3,0.25,0.0,0.0,,13.3,53.3,0.25,13.3,26.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,53.3,Sean Farrell
1,2002-03,DePaul,CUSA,5,0,5.0,0.0,16.0,0.0,0.0,0.0,,0.0,16.0,0.0,8.0,16.0,0.5,8.0,0.0,8.0,0.0,0.0,0.0,8.0,Sean Farrell
2,2003-04,DePaul,CUSA,3,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sean Farrell
3,Career,DePaul,,11,0,11.0,3.6,21.8,0.16699999999999998,0.0,0.0,,3.6,21.8,0.16699999999999998,7.3,14.5,0.5,3.6,0.0,3.6,0.0,0.0,0.0,18.2,Sean Farrell
0,2018-19,Lehigh,Patriot,8,0,17.0,2.4,9.4,0.25,2.4,7.1,0.33299999999999996,0.0,2.4,0.0,7.1,14.1,0.5,7.1,4.7,0.0,2.4,2.4,4.7,11.8,Zedrek Farrell
1,Career,Lehigh,,8,0,17.0,2.4,9.4,0.25,2.4,7.1,0.33299999999999996,0.0,2.4,0.0,7.1,14.1,0.5,7.1,4.7,0.0,2.4,2.4,4.7,11.8,Zedrek Farrell
0,2000-01,St. Joseph's,A-10,10,0,14.0,2.9,8.6,0.33299999999999996,2.9,8.6,0.33299999999999996,0.0,0.0,,5.7,8.6,0.667,8.6,14.3,2.9,2.9,11.4,2.9,11.4,Mike Farrelly
1,2001-02,St. Joseph's,A-10,7,0,9.0,4.4,4.4,1.0,0.0,0.0,,4.4,4.4,1.0,0.0,4.4,0.0,0.0,4.4,0.0,0.0,4.4,8.9,13.3,Mike Farrelly
2,2002-03,St. Joseph's,A-10,13,0,18.0,0.0,2.2,0.0,0.0,0.0,,0.0,2.2,0.0,0.0,4.4,0.0,2.2,6.7,2.2,0.0,0.0,6.7,0.0,Mike Farrelly
3,Career,St. Joseph's,,30,0,41.0,2.0,4.9,0.4,1.0,2.9,0.33299999999999996,1.0,2.0,0.5,2.0,5.9,0.33299999999999996,3.9,8.8,2.0,1.0,4.9,5.9,6.8,Mike Farrelly
0,2006-07,LSU,SEC,14,0,86.0,2.3,10.7,0.217,0.5,1.4,0.33299999999999996,1.9,9.3,0.2,1.9,2.8,0.667,6.5,2.8,0.0,0.9,2.3,3.3,8.4,Alex Farrer
1,2007-08,LSU,SEC,27,14,474.0,2.4,6.2,0.384,1.8,3.5,0.5,0.6,2.6,0.226,1.5,2.4,0.643,4.0,3.0,1.3,0.3,2.4,3.4,6.8,Alex Farrer
2,2008-09,LSU,SEC,32,0,233.0,2.9,9.1,0.321,1.7,5.3,0.32299999999999995,1.2,3.8,0.318,2.2,3.1,0.722,4.3,3.1,1.0,1.2,2.9,6.0,9.3,Alex Farrer
3,2009-10,LSU,SEC,1,1,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex Farrer
4,Career,LSU,,74,15,797.0,2.5,7.5,0.336,1.6,3.8,0.42100000000000004,0.9,3.7,0.247,1.8,2.6,0.6729999999999999,4.3,3.0,1.1,0.7,2.5,4.1,7.7,Alex Farrer
0,2020-21,Utah Valley,WAC,6,0,30.0,2.7,9.3,0.28600000000000003,2.7,5.3,0.5,0.0,4.0,0.0,2.7,2.7,1.0,6.7,1.3,0.0,1.3,2.7,5.3,8.0,Trey Farrer
1,Career,Utah Valley,,6,0,30.0,2.7,9.3,0.28600000000000003,2.7,5.3,0.5,0.0,4.0,0.0,2.7,2.7,1.0,6.7,1.3,0.0,1.3,2.7,5.3,8.0,Trey Farrer
0,2019-20,Arkansas State,Sun Belt,1,0,2.0,0.0,20.0,0.0,0.0,0.0,,0.0,20.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20.0,0.0,Malcolm Farrington
1,2020-21,Arkansas State,Sun Belt,20,0,344.0,5.8,13.8,0.42,1.3,3.5,0.36700000000000005,4.5,10.3,0.43799999999999994,1.0,1.3,0.818,2.3,0.9,1.2,0.1,1.9,1.0,17.2,Malcolm Farrington
2,Career,Arkansas State,,21,0,346.0,5.8,13.9,0.41700000000000004,1.3,3.5,0.36700000000000005,4.5,10.4,0.433,1.0,1.3,0.818,2.3,0.9,1.2,0.1,1.8,1.2,17.1,Malcolm Farrington
0,1995-96,Arizona State,Pac-10,27,15,832.0,4.2,7.8,0.54,4.2,7.8,0.54,0.0,0.0,,1.2,2.5,0.45299999999999996,7.2,0.4,1.1,2.3,1.9,,9.6,Rodger Farrington
1,1996-97,Arizona State,Pac-10,27,27,919.0,4.8,10.4,0.46299999999999997,4.8,10.4,0.46399999999999997,0.0,0.0,0.0,1.5,2.8,0.5379999999999999,8.4,2.1,2.4,4.9,2.5,3.7,11.2,Rodger Farrington
2,Career,Arizona State,,54,42,1751.0,4.5,9.2,0.494,4.5,9.2,0.495,0.0,0.0,0.0,1.3,2.7,0.5,7.8,1.3,1.8,3.7,2.2,,10.4,Rodger Farrington
0,2010-11,Louisiana,Sun Belt,22,13,353.0,5.0,9.4,0.53,5.0,9.4,0.53,0.0,0.0,,5.3,10.3,0.516,10.7,0.5,1.0,3.2,4.4,5.8,15.3,Scottie Farrington
1,2011-12,Louisiana,Sun Belt,25,2,182.0,4.0,8.1,0.486,4.0,7.9,0.5,0.0,0.2,0.0,5.3,9.2,0.5710000000000001,11.4,0.9,0.7,2.9,2.4,6.4,13.2,Scottie Farrington
2,Career,Louisiana,,47,15,535.0,4.6,9.0,0.517,4.6,8.9,0.521,0.0,0.1,0.0,5.3,9.9,0.534,10.9,0.6,0.9,3.1,3.7,6.0,14.6,Scottie Farrington
0,1995-96,Hampton,MEAC,25,7.0,375.0,3.2,10.3,0.309,1.7,5.7,0.302,1.5,4.7,0.318,3.0,4.2,0.718,4.3,2.9,1.7,0.0,4.3,4.5,10.9,Torrey Farrington
1,1996-97,Hampton,MEAC,27,,,,,0.386,,,0.37799999999999995,,,0.39299999999999996,,,0.66,,,,,,,,Torrey Farrington
2,1997-98,Hampton,MEAC,26,,,,,0.336,,,0.354,,,0.327,,,0.75,,,,,,,,Torrey Farrington
3,1998-99,Hampton,MEAC,26,,,,,0.389,,,0.414,,,0.369,,,0.83,,,,,,,,Torrey Farrington
4,Career,Hampton,,104,7.0,375.0,39.5,108.5,0.364,17.2,45.8,0.375,22.3,62.7,0.355,19.3,25.6,0.754,30.6,21.5,9.9,0.4,4.3,7.3,120.5,Torrey Farrington
0,1993-94,Saint Mary's,WCC,27,6,498.0,6.3,11.7,0.541,6.0,10.7,0.564,0.3,1.0,0.308,4.3,6.7,0.631,11.4,2.1,2.5,0.4,3.9,7.2,17.3,Brent Farris
1,1994-95,Saint Mary's,WCC,28,25,798.0,6.8,14.5,0.469,6.3,12.4,0.504,0.6,2.1,0.262,6.0,8.5,0.71,8.3,2.3,2.2,0.4,3.2,4.5,20.2,Brent Farris
2,Career,Saint Mary's,,55,31,1296.0,6.6,13.5,0.493,6.2,11.8,0.525,0.5,1.7,0.273,5.3,7.8,0.684,9.5,2.2,2.3,0.4,3.5,5.5,19.1,Brent Farris
0,2020-21,UNC,ACC,6,0,10.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,,0.0,0.0,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Duwe Farris
1,Career,UNC,,6,0,10.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,,0.0,0.0,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Duwe Farris
0,2010-11,Utah State,WAC,21,0,153.0,3.7,11.0,0.33299999999999996,1.6,4.7,0.33299999999999996,2.1,6.3,0.33299999999999996,1.0,1.3,0.8,2.9,3.4,0.8,0.0,3.4,4.4,10.5,E.J. Farris
1,2011-12,Utah State,WAC,33,1,305.0,4.1,11.7,0.348,3.1,7.0,0.45299999999999996,0.9,4.7,0.19399999999999998,2.9,3.0,0.9570000000000001,5.2,3.4,1.2,0.1,3.8,2.4,11.9,E.J. Farris
2,Career,Utah State,,54,1,458.0,3.9,11.4,0.344,2.6,6.2,0.423,1.3,5.2,0.25,2.3,2.4,0.929,4.5,3.4,1.0,0.1,3.7,3.1,11.4,E.J. Farris
0,2020-21,Robert Morris,Horizon,17,16,374.0,5.3,11.2,0.47600000000000003,1.6,3.1,0.517,3.7,8.1,0.461,0.6,0.7,0.857,3.4,1.7,0.7,0.1,1.9,3.1,15.1,Kam Farris
1,Career,Robert Morris,,17,16,374.0,5.3,11.2,0.47600000000000003,1.6,3.1,0.517,3.7,8.1,0.461,0.6,0.7,0.857,3.4,1.7,0.7,0.1,1.9,3.1,15.1,Kam Farris
0,1999-00,Ball State,MAC,12,12,,,,0.5710000000000001,,,0.5710000000000001,,,,,,,,,,,,,,Mark Farris
1,2000-01,Ball State,MAC,17,1,,,,0.45799999999999996,,,0.45799999999999996,,,,,,0.33299999999999996,,,,,,,,Mark Farris
2,2002-03,Ball State,MAC,27,2,335.0,3.0,8.4,0.35700000000000004,2.7,7.0,0.39,0.2,1.3,0.182,1.4,2.4,0.6,6.1,1.7,0.7,1.1,1.9,5.1,7.6,Mark Farris
3,Career,Ball State,,56,15,335.0,6.1,14.9,0.408,5.9,13.6,0.43,0.2,1.3,0.182,1.7,3.1,0.5379999999999999,10.3,2.1,1.0,1.4,3.1,6.6,14.1,Mark Farris
0,1995-96,Western Kentucky,Sun Belt,27,6,227.0,3.7,7.2,0.512,3.7,7.0,0.525,0.0,0.2,0.0,2.5,3.5,0.7,7.2,0.2,1.8,0.7,2.3,3.3,9.9,Ravon Farris
1,1996-97,Western Kentucky,Sun Belt,27,20,633.0,4.0,7.5,0.534,4.0,7.5,0.534,0.0,0.0,,1.3,1.8,0.69,6.1,0.8,0.3,0.8,2.0,3.5,9.2,Ravon Farris
2,1997-98,Western Kentucky,Sun Belt,20,17,584.0,5.8,11.4,0.509,5.8,11.4,0.509,0.0,0.0,,2.9,4.6,0.627,9.5,2.1,1.1,0.8,3.2,3.4,14.5,Ravon Farris
3,1998-99,Western Kentucky,Sun Belt,29,29,858.0,5.1,9.9,0.519,5.1,9.8,0.524,0.0,0.1,0.0,2.8,3.6,0.779,6.9,1.0,0.8,0.2,2.4,3.7,13.1,Ravon Farris
4,Career,Western Kentucky,,103,72,2302.0,4.8,9.3,0.519,4.8,9.3,0.521,0.0,0.1,0.0,2.4,3.4,0.705,7.4,1.1,0.8,0.5,2.5,3.5,12.1,Ravon Farris
0,2007-08,Eastern Michigan,MAC,11,1,52.0,2.3,12.3,0.188,1.5,4.6,0.33299999999999996,0.8,7.7,0.1,5.4,7.7,0.7,6.2,0.8,2.3,0.0,5.4,2.3,10.8,Solomon Farris
1,2008-09,Eastern Michigan,MAC,17,15,361.0,4.9,14.0,0.349,3.0,7.2,0.415,1.9,6.8,0.27899999999999997,1.2,1.9,0.647,6.6,3.5,2.3,0.1,4.7,2.5,12.9,Solomon Farris
2,Career,Eastern Michigan,,28,16,413.0,4.6,13.8,0.331,2.8,6.9,0.408,1.7,6.9,0.254,1.7,2.6,0.667,6.6,3.2,2.3,0.1,4.7,2.5,12.6,Solomon Farris
0,2014-15,Incarnate Word,Southland,29,28,693.0,7.2,12.9,0.5539999999999999,7.2,12.8,0.561,0.0,0.2,0.0,2.6,5.1,0.511,7.8,0.9,1.1,1.6,2.0,5.5,16.9,Traylin Farris
1,2016-17,Portland State,Big Sky,30,22,668.0,7.5,12.2,0.618,7.5,11.9,0.628,0.1,0.3,0.2,4.2,6.8,0.614,9.3,1.1,1.2,1.7,1.4,5.7,19.3,Traylin Farris
2,2017-18,Portland State,Big Sky,23,10,341.0,6.2,12.4,0.5,6.1,12.3,0.495,0.1,0.1,1.0,3.5,5.9,0.6,8.9,1.6,2.3,1.8,1.3,7.6,16.1,Traylin Farris
3,Career,Overall,,82,60,1702.0,7.1,12.5,0.5670000000000001,7.1,12.3,0.573,0.0,0.2,0.222,3.4,5.9,0.575,8.6,1.1,1.4,1.6,1.6,6.0,17.7,Traylin Farris
4,,Incarnate Word,,29,28,693.0,7.2,12.9,0.5539999999999999,7.2,12.8,0.561,0.0,0.2,0.0,2.6,5.1,0.511,7.8,0.9,1.1,1.6,2.0,5.5,16.9,Traylin Farris
5,,Portland State,,53,32,1009.0,7.1,12.3,0.5770000000000001,7.0,12.1,0.5820000000000001,0.1,0.2,0.33299999999999996,4.0,6.5,0.61,9.2,1.3,1.6,1.7,1.3,6.3,18.2,Traylin Farris
0,1997-98,Fairfield,MAAC,21,,357.0,3.6,9.2,0.39,2.2,5.3,0.426,1.3,3.9,0.34299999999999997,2.6,3.7,0.6970000000000001,2.1,5.2,1.3,0.1,,,11.1,Boo Farrow
1,1998-99,Fairfield,MAAC,25,,,,,0.377,,,0.425,,,0.231,,,0.7340000000000001,,,,,,,,Boo Farrow
2,2000-01,Fairfield,MAAC,24,14.0,,,,0.40399999999999997,,,0.436,,,0.1,,,0.816,,,,,,,,Boo Farrow
3,Career,Fairfield,,70,14.0,357.0,15.0,38.7,0.38799999999999996,12.5,29.2,0.429,2.5,9.4,0.262,11.3,15.1,0.748,12.0,25.0,8.2,1.3,,,43.8,Boo Farrow
0,2007-08,Eastern Michigan,MAC,27,24,532.0,2.8,6.1,0.457,2.6,5.6,0.45899999999999996,0.2,0.5,0.429,2.2,3.3,0.659,7.8,1.4,0.7,0.5,0.2,3.6,8.0,Wendale Farrow
1,2008-09,Eastern Michigan,MAC,31,2,458.0,2.5,5.9,0.426,2.4,5.6,0.43799999999999994,0.1,0.3,0.25,1.4,3.0,0.47100000000000003,8.9,1.0,0.7,0.7,1.6,3.9,6.6,Wendale Farrow
2,Career,Eastern Michigan,,58,26,990.0,2.7,6.0,0.44299999999999995,2.5,5.6,0.449,0.2,0.4,0.364,1.8,3.2,0.5770000000000001,8.3,1.2,0.7,0.6,0.8,3.8,7.3,Wendale Farrow
0,2019-20,NC State,ACC,12,0,25.0,1.6,11.2,0.14300000000000002,0.0,0.0,,1.6,11.2,0.14300000000000002,1.6,3.2,0.5,9.6,0.0,0.0,0.0,1.6,4.8,6.4,Max Farthing
1,2020-21,NC State,ACC,4,0,11.0,0.0,3.6,0.0,0.0,0.0,,0.0,3.6,0.0,7.3,7.3,1.0,0.0,0.0,0.0,0.0,3.6,3.6,7.3,Max Farthing
