round,pick,predicted_player,actual_player
1,1,Markelle Fultz,Markelle Fultz
1,2,Malik Monk,Lonzo Ball
1,3,Jordan Washington,Jayson Tatum
1,4,Eric Mika,Josh Jackson
1,5,Lonzo Ball,De'Aaron Fox
1,6,Jayson Tatum,Jonathan Isaac
1,7,Demetrius McReynolds,Lauri Markkanen
1,8,De'Aaron Fox,Frank Ntilikina
1,9,Jonathan Isaac,Dennis Smith Jr.
1,10,Lauri Markkanen,Zach Collins
1,11,Josh Jackson,Malik Monk
1,12,Zach Collins,Luke Kennard
1,13,Luke Kennard,Donovan Mitchell
1,14,Donovan Mitchell,Bam Adebayo
1,15,Brent Calhoun,Justin Jackson
1,16,Emile Blackman,Justin Patton
1,17,Justin Patton,D.J. Wilson
1,18,Mike Sagay,T.J. Leaf
1,19,D.J. Wilson,John Collins
1,20,Isaiah Briscoe,Harry Giles
1,21,John Collins,Terrance Ferguson
1,22,Doyin Akintobi-Adeyeye,Jarrett Allen
1,23,Martez Harrison,OG Anunoby
1,24,Harry Giles,Tyler Lydon
1,25,T.J. Cromer,Anžejs Pasečņiks
1,26,Jarrett Allen,Caleb Swanigan
1,27,Tim Coleman,Kyle Kuzma
1,28,Andrew White,Tony Bradley
1,29,OG Anunoby,Derrick White
1,30,Tyler Lydon,Josh Hart
2,31,Devin Robinson,Frank Jackson
2,32,Yohanny Dalembert,Davon Reed
2,33,Caleb Swanigan,Wesley Iwundu
2,34,Kyle Kuzma,Frank Mason III
2,35,Donte McGill,Ivan Rabb
2,36,Andris Misters,Jonah Bolden
2,37,Tony Bradley,Semi Ojeleye
2,38,Jonathan Williams,Jordan Bell
2,39,Miles Bowman,Jawun Evans
2,40,Justin Robinson,Dwayne Bacon
2,41,Josh Hart,Tyler Dorsey
2,42,Marcus Romain,Thomas Bryant
2,43,Wesley Iwundu,Isaiah Hartenstein
2,44,Prince Okoroh,Damyean Dotson
2,45,Semi Ojeleye,Dillon Brooks
2,46,Jordan Bell,Sterling Brown
2,47,Jawun Evans,Ike Anigbogu
2,48,Eric Eaves,Sindarius Thornwell
2,49,Dwayne Bacon,Vlatko Čančar
2,50,Tyler Dorsey,Mathias Lessort
2,51,Elijah Wilson,Monte Morris
2,52,Damyean Dotson,Edmond Sumner
2,53,Dillon Brooks,Kadeem Allen
2,54,Sterling Brown,Alec Peters
2,55,Monte Morris,Nigel Williams-Goss
2,56,Edmond Sumner,Jabari Bird
2,57,Leyton Hammonds,Sasha Vezenkov
2,58,Nigel Williams-Goss,Ognjen Jaramaz
2,59,Karachi Edo,Jaron Blossomgame
2,60,Jarred Jones,Alpha Kaba
