year,team_abb,player,college,round,pick,official_key
1991,GSW,Victor Alexander,Iowa State,1,17,"Victor Alexander, Iowa State, 1991"
1991,MIL,Kevin Brooks,Louisiana,1,18,"Kevin Brooks, Louisiana, 1991"
1991,WSB,LaBradford Smith,Louisville,1,19,"LaBradford Smith, Louisville, 1991"
1991,HOU,John Turner,Phillips University,1,20,"John Turner, Phillips University, 1991"
1991,UTA,Eric Murdock,Providence,1,21,"Eric Murdock, Providence, 1991"
1991,LAC,LeRon Ellis,Syracuse,1,22,"LeRon Ellis, Syracuse, 1991"
1991,ORL,Stanley Roberts,LSU,1,23,"Stanley Roberts, LSU, 1991"
1991,BOS,Rick Fox,UNC,1,24,"Rick Fox, UNC, 1991"
1991,GSW,Shaun Vandiver,Colorado,1,25,"Shaun Vandiver, Colorado, 1991"
1991,CHI,Mark Randall,Kansas,1,26,"Mark Randall, Kansas, 1991"
1991,SAC,Pete Chilcutt,UNC,1,27,"Pete Chilcutt, UNC, 1991"
1991,CHH,Kevin Lynch,Minnesota,2,28,"Kevin Lynch, Minnesota, 1991"
1991,MIA,George Ackles,UNLV,2,29,"George Ackles, UNLV, 1991"
1991,ATL,Rodney Monroe,NC State,2,30,"Rodney Monroe, NC State, 1991"
1991,SAC,Randy Brown,New Mexico State,2,31,"Randy Brown, New Mexico State, 1991"
1991,PHO,Chad Gallagher,Creighton,2,32,"Chad Gallagher, Creighton, 1991"
1991,DAL,Donald Hodge,Temple,2,33,"Donald Hodge, Temple, 1991"
1991,MIN,Myron Brown,Slippery Rock University of Pennsylvania,2,34,"Myron Brown, Slippery Rock University of Pennsylvania, 1991"
1991,DAL,Mike Iuzzolino,Saint Francis University,2,35,"Mike Iuzzolino, Saint Francis University, 1991"
1991,ORL,Chris Corchiani,NC State,2,36,"Chris Corchiani, NC State, 1991"
1991,LAC,Elliot Perry,Memphis,2,37,"Elliot Perry, Memphis, 1991"
1991,LAC,Joe Wylie,Miami (FL),2,38,"Joe Wylie, Miami (FL), 1991"
1991,CLE,Jimmy Oliver,Purdue,2,39,"Jimmy Oliver, Purdue, 1991"
1991,DET,Doug Overton,La Salle,2,40,"Doug Overton, La Salle, 1991"
1991,IND,Sean Green,Iona College,2,41,"Sean Green, Iona College, 1991"
1991,SAC,Steve Hood,James Madison University,2,42,"Steve Hood, James Madison University, 1991"
1991,GSW,Lamont Strothers,Christopher Newport University,2,43,"Lamont Strothers, Christopher Newport University, 1991"
1991,PHI,Alvaro Teheran,Houston,2,44,"Alvaro Teheran, Houston, 1991"
1991,MIL,Bobby Phills,Southern University and A&M College,2,45,"Bobby Phills, Southern University and A&M College, 1991"
1991,PHO,Richard Dumas,Oklahoma State,2,46,"Richard Dumas, Oklahoma State, 1991"
1991,HOU,Keith Hughes,Rutgers University,2,47,"Keith Hughes, Rutgers University, 1991"
1991,UTA,Isaac Austin,Arizona State,2,48,"Isaac Austin, Arizona State, 1991"
1991,SAS,Greg Sutton,Oral Roberts,2,49,"Greg Sutton, Oral Roberts, 1991"
1991,PHO,Joey Wright,Texas,2,50,"Joey Wright, Texas, 1991"
