,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,Career,Boston College,,15,0,67,6.6,17.3,0.379,4.2,13.1,0.318,2.4,4.2,0.5710000000000001,2.4,6.0,0.4,8.4,0.0,1.2,0.6,4.2,3.6,17.9,Mike Sagay
0,2000-01,Green Bay,MW Coll,28,25,828,5.7,13.2,0.434,3.7,8.6,0.43,2.0,4.6,0.442,2.5,2.8,0.895,4.2,1.2,0.5,0.2,1.9,1.8,16.0,Chris Sager
1,2002-03,Charlotte,CUSA,23,2,257,5.1,15.4,0.33299999999999996,1.1,3.4,0.318,4.0,12.0,0.33799999999999997,3.1,3.3,0.9520000000000001,4.5,1.4,0.3,0.5,1.1,1.7,17.4,Chris Sager
2,2003-04,Charlotte,CUSA,24,2,189,4.9,9.9,0.489,2.1,3.4,0.625,2.8,6.6,0.419,0.4,0.6,0.667,1.1,1.7,0.4,0.4,1.3,1.9,12.9,Chris Sager
3,2004-05,Charlotte,CUSA,21,1,79,2.0,7.1,0.28600000000000003,0.5,0.5,1.0,1.5,6.6,0.231,1.0,1.5,0.667,3.0,1.5,1.5,0.0,2.5,2.0,6.6,Chris Sager
4,Career,Overall,,96,30,1353,5.3,12.8,0.41200000000000003,2.8,6.4,0.436,2.5,6.4,0.389,2.2,2.5,0.893,3.8,1.3,0.5,0.3,1.7,1.8,15.3,Chris Sager
5,,Green Bay,,28,25,828,5.7,13.2,0.434,3.7,8.6,0.43,2.0,4.6,0.442,2.5,2.8,0.895,4.2,1.2,0.5,0.2,1.9,1.8,16.0,Chris Sager
6,,Charlotte,,68,5,525,4.6,12.2,0.375,1.4,3.0,0.462,3.2,9.2,0.34700000000000003,1.8,2.1,0.889,3.0,1.5,0.5,0.4,1.4,1.8,14.2,Chris Sager
0,2011-12,Oklahoma State,Big 12,13,0,51,0.8,3.1,0.25,0.0,0.0,,0.8,3.1,0.25,1.6,1.6,1.0,3.9,2.4,2.4,0.0,0.8,1.6,3.9,Christien Sager
1,2012-13,Oklahoma State,Big 12,14,0,58,4.1,7.6,0.545,2.8,4.8,0.5710000000000001,1.4,2.8,0.5,0.7,4.8,0.14300000000000002,9.7,2.1,1.4,0.0,2.1,5.5,10.3,Christien Sager
2,2013-14,Oklahoma State,Big 12,29,0,177,1.4,3.4,0.4,0.5,0.9,0.5,0.9,2.5,0.364,2.0,3.8,0.529,6.1,1.4,0.7,0.5,1.1,5.0,5.6,Christien Sager
3,2014-15,Oklahoma State,Big 12,23,1,98,1.2,6.1,0.2,0.0,0.4,0.0,1.2,5.7,0.214,1.6,3.7,0.444,4.9,1.6,1.6,0.0,0.8,4.9,5.3,Christien Sager
4,Career,Oklahoma State,,79,1,384,1.7,4.7,0.35600000000000004,0.6,1.3,0.5,1.0,3.4,0.303,1.7,3.6,0.457,6.0,1.7,1.3,0.2,1.1,4.6,6.0,Christien Sager
0,1999-00,Mercer,TAAC,33,33,,,,0.391,,,0.526,,,0.363,,,0.563,,,,,,,,Josh Sagester
