,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,Career,Louisiana Tech,,10,3,117,5.5,9.9,0.552,4.8,8.5,0.56,0.7,1.4,0.5,3.1,5.1,0.6,3.1,2.4,0.3,0.0,4.4,2.4,14.7,C.J. Scott
0,2008-09,Notre Dame,Big East,20,0,90,8.9,13.8,0.645,7.6,10.7,0.708,1.3,3.1,0.429,3.1,4.0,0.778,10.2,3.1,2.2,1.3,0.9,4.4,22.2,Carleton Scott
1,2009-10,Notre Dame,Big East,34,9,641,4.2,8.6,0.493,3.1,5.2,0.583,1.2,3.4,0.35200000000000004,1.0,1.3,0.762,9.8,2.3,1.0,2.3,1.8,3.9,10.7,Carleton Scott
2,2010-11,Notre Dame,Big East,30,29,937,5.0,11.0,0.455,3.0,5.5,0.55,2.0,5.5,0.359,2.4,2.7,0.889,9.5,2.7,1.0,2.4,1.8,3.1,14.3,Carleton Scott
3,Career,Notre Dame,,84,38,1668,4.9,10.2,0.48100000000000004,3.3,5.7,0.578,1.6,4.5,0.36,1.9,2.2,0.8490000000000001,9.7,2.6,1.1,2.3,1.7,3.5,13.4,Carleton Scott
0,1990-91,Oregon State,Pac-10,28,,,,,0.507,,,0.528,,,0.429,,,0.765,,,,,,,,Chad Scott
1,1991-92,Oregon State,Pac-10,13,13.0,434.0,7.6,14.8,0.509,6.4,11.3,0.561,1.2,3.5,0.342,5.0,6.9,0.72,10.0,2.1,0.9,0.8,2.6,2.2,21.3,Chad Scott
2,1992-93,Oregon State,Pac-10,27,27.0,963.0,5.6,12.7,0.441,4.5,9.4,0.48200000000000004,1.1,3.3,0.325,3.5,4.8,0.7240000000000001,7.7,1.6,1.2,0.6,3.0,2.0,15.8,Chad Scott
3,Career,Oregon State,,68,40.0,1397.0,10.1,21.0,0.48,8.3,16.1,0.517,1.8,5.0,0.36200000000000004,5.7,7.8,0.735,15.0,2.7,1.6,1.5,2.9,2.1,27.7,Chad Scott
0,2003-04,IUPUI,Mid-Cont,8,0,14,2.9,14.3,0.2,2.9,14.3,0.2,0.0,0.0,,2.9,5.7,0.5,5.7,2.9,0.0,0.0,8.6,2.9,8.6,Chris Scott
1,2004-05,IUPUI,Mid-Cont,6,0,9,8.9,8.9,1.0,8.9,8.9,1.0,0.0,0.0,,0.0,17.8,0.0,0.0,0.0,0.0,0.0,4.4,4.4,17.8,Chris Scott
2,2005-06,IUPUI,Mid-Cont,8,0,23,5.2,15.7,0.33299999999999996,5.2,15.7,0.33299999999999996,0.0,0.0,,1.7,5.2,0.33299999999999996,8.7,1.7,3.5,0.0,1.7,3.5,12.2,Chris Scott
3,Career,IUPUI,,22,0,46,5.2,13.9,0.375,5.2,13.9,0.375,0.0,0.0,,1.7,7.8,0.222,6.1,1.7,1.7,0.0,4.3,3.5,12.2,Chris Scott
0,1995-96,Washington State,Pac-10,28,,,,,0.3,,,0.392,,,0.138,,,0.588,,,,,,,,Chris Scott
1,Career,Washington State,,28,,,,,0.3,,,0.392,,,0.138,,,0.588,,,,,,,,Chris Scott
0,1989-90,Loyola Marymount,WCC,19,0,108,5.2,13.7,0.37799999999999995,5.2,13.3,0.389,0.0,0.4,0.0,0.4,3.3,0.111,15.9,3.0,1.5,1.9,4.4,5.6,10.7,Christian Scott
1,1990-91,Loyola Marymount,WCC,31,27,779,3.5,8.8,0.401,3.5,8.6,0.413,0.0,0.3,0.0,2.0,2.4,0.848,9.9,1.9,2.0,1.3,2.9,3.1,9.1,Christian Scott
2,1991-92,Loyola Marymount,WCC,28,27,755,4.9,11.3,0.43700000000000006,4.5,9.9,0.449,0.5,1.4,0.34600000000000003,2.8,3.6,0.765,8.3,3.3,1.6,1.1,2.3,3.4,13.1,Christian Scott
3,1992-93,Loyola Marymount,WCC,23,7,493,3.6,7.9,0.45399999999999996,2.9,6.3,0.462,0.6,1.5,0.42100000000000004,3.3,5.1,0.6509999999999999,6.2,3.2,1.8,1.2,2.8,4.4,11.1,Christian Scott
4,Career,Loyola Marymount,,101,61,2135,4.1,9.7,0.424,3.8,8.8,0.434,0.3,1.0,0.33299999999999996,2.5,3.5,0.715,8.8,2.8,1.8,1.2,2.7,3.7,11.1,Christian Scott
0,2018-19,Elon,CAA,4,0,6,6.7,6.7,1.0,6.7,6.7,1.0,0.0,0.0,,0.0,0.0,,13.3,0.0,0.0,0.0,6.7,0.0,13.3,Christian Scott
1,2019-20,Elon,CAA,3,0,5,0.0,16.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,,8.0,0.0,0.0,0.0,16.0,8.0,0.0,Christian Scott
2,Career,Elon,,7,0,11,3.6,10.9,0.33299999999999996,3.6,7.3,0.5,0.0,3.6,0.0,0.0,0.0,,10.9,0.0,0.0,0.0,10.9,3.6,7.3,Christian Scott
0,1991-92,Coppin State,MEAC,19,16,312,4.7,13.6,0.349,4.6,13.3,0.34600000000000003,0.1,0.3,0.5,4.6,7.1,0.655,11.7,1.3,1.7,0.1,4.1,4.9,14.2,Coleman Scott
1,1992-93,Coppin State,MEAC,27,15,540,3.6,10.7,0.331,3.6,10.7,0.331,0.0,0.0,,2.8,5.5,0.514,9.1,1.9,1.3,0.9,3.3,5.8,9.9,Coleman Scott
2,Career,Coppin State,,46,31,852,4.0,11.8,0.33899999999999997,3.9,11.7,0.337,0.0,0.1,0.5,3.5,6.1,0.574,10.0,1.6,1.5,0.6,3.6,5.4,11.5,Coleman Scott
0,1995-96,George Mason,CAA,27,4.0,406,6.1,17.8,0.34299999999999997,4.4,10.2,0.433,1.7,7.6,0.221,3.3,4.3,0.75,4.1,5.1,3.3,0.1,3.7,3.0,17.1,Contrell Scott
1,1996-97,George Mason,CAA,27,,640,5.5,14.2,0.38799999999999996,4.4,10.2,0.436,1.1,4.0,0.266,4.6,6.1,0.745,4.8,7.9,3.1,0.3,,,16.6,Contrell Scott
2,Career,George Mason,,54,4.0,1046,5.7,15.6,0.368,4.4,10.2,0.434,1.3,5.4,0.24100000000000002,4.1,5.4,0.746,4.6,6.8,3.2,0.2,,,16.8,Contrell Scott
0,2000-01,Iowa,Big Ten,35,2,310,4.1,8.5,0.485,4.0,8.4,0.47700000000000004,0.1,0.1,1.0,2.7,4.3,0.636,9.3,1.7,1.0,0.1,2.6,7.2,11.1,Cortney Scott
1,2002-03,Oakland,Mid-Cont,23,23,836,6.2,10.9,0.57,6.2,10.7,0.5760000000000001,0.0,0.2,0.25,3.4,5.8,0.59,9.6,2.9,1.3,0.3,2.6,3.0,15.9,Cortney Scott
2,2003-04,Oakland,Mid-Cont,30,30,971,6.5,12.4,0.522,6.5,12.4,0.523,0.0,0.0,0.0,2.3,5.0,0.467,9.7,2.9,1.9,0.4,2.3,3.7,15.3,Cortney Scott
3,2004-05,Oakland,Mid-Cont,32,32,1163,8.2,15.1,0.54,8.1,14.8,0.545,0.1,0.3,0.25,3.5,6.1,0.573,8.0,2.4,1.8,0.3,2.2,2.5,19.9,Cortney Scott
4,Career,Overall,,120,87,3280,6.8,12.6,0.5379999999999999,6.7,12.4,0.541,0.0,0.2,0.28600000000000003,3.1,5.5,0.5539999999999999,9.0,2.6,1.6,0.3,2.4,3.4,16.7,Cortney Scott
5,,Iowa,,35,2,310,4.1,8.5,0.485,4.0,8.4,0.47700000000000004,0.1,0.1,1.0,2.7,4.3,0.636,9.3,1.7,1.0,0.1,2.6,7.2,11.1,Cortney Scott
6,,Oakland,,85,85,2970,7.1,13.0,0.541,7.0,12.9,0.546,0.0,0.2,0.231,3.1,5.7,0.547,9.0,2.7,1.7,0.4,2.4,3.0,17.3,Cortney Scott
0,2015-16,Charlotte,CUSA,33,18,815,4.9,10.8,0.452,3.7,8.0,0.457,1.2,2.8,0.439,6.0,7.2,0.83,3.7,2.2,0.8,0.0,2.7,3.5,17.0,Curran Scott
1,2017-18,Tulsa,AAC,31,8,461,4.6,11.5,0.39799999999999996,3.0,7.1,0.42700000000000005,1.6,4.4,0.353,5.0,6.0,0.841,5.7,1.8,0.9,0.1,3.0,3.2,15.8,Curran Scott
2,2018-19,Tulsa,AAC,32,26,791,4.6,11.2,0.40700000000000003,2.5,5.9,0.419,2.1,5.3,0.39399999999999996,3.3,4.3,0.765,4.0,1.8,0.5,0.0,2.0,2.2,14.5,Curran Scott
3,2019-20,Clemson,ACC,31,8,623,3.5,9.6,0.369,2.3,4.9,0.46799999999999997,1.2,4.6,0.264,3.1,3.9,0.787,3.5,2.8,1.6,0.0,2.2,2.8,11.4,Curran Scott
4,Career,Overall,,127,60,2690,4.4,10.8,0.41200000000000003,2.9,6.5,0.44299999999999995,1.5,4.2,0.363,4.4,5.4,0.809,4.1,2.1,0.9,0.0,2.4,2.9,14.8,Curran Scott
5,,Charlotte,,33,18,815,4.9,10.8,0.452,3.7,8.0,0.457,1.2,2.8,0.439,6.0,7.2,0.83,3.7,2.2,0.8,0.0,2.7,3.5,17.0,Curran Scott
6,,Tulsa,,63,34,1252,4.6,11.3,0.40399999999999997,2.7,6.4,0.42200000000000004,1.9,5.0,0.381,3.9,4.9,0.799,4.6,1.8,0.6,0.0,2.4,2.6,15.0,Curran Scott
7,,Clemson,,31,8,623,3.5,9.6,0.369,2.3,4.9,0.46799999999999997,1.2,4.6,0.264,3.1,3.9,0.787,3.5,2.8,1.6,0.0,2.2,2.8,11.4,Curran Scott
0,2011-12,Texas Southern,SWAC,30,23,535,2.8,6.5,0.43700000000000006,2.5,4.9,0.515,0.3,1.6,0.19,2.8,4.0,0.698,6.8,1.7,1.8,0.7,3.7,2.5,8.7,D'Angelo Scott
1,2013-14,Texas Southern,SWAC,34,31,905,3.7,6.1,0.597,3.6,5.8,0.621,0.0,0.3,0.14300000000000002,3.6,4.6,0.7959999999999999,9.3,1.8,1.6,0.6,2.3,3.3,11.0,D'Angelo Scott
2,Career,Texas Southern,,64,54,1440,3.4,6.3,0.535,3.2,5.5,0.586,0.1,0.8,0.179,3.3,4.3,0.763,8.4,1.8,1.7,0.6,2.8,3.0,10.2,D'Angelo Scott
0,2015-16,Memphis,AAC,10,0,27,1.5,22.2,0.067,1.5,13.3,0.111,0.0,8.9,0.0,3.0,4.4,0.667,8.9,0.0,1.5,0.0,0.0,1.5,5.9,Dante Scott
1,2017-18,Mississippi Valley State,SWAC,30,29,948,6.8,16.3,0.42,5.0,11.3,0.442,1.9,5.0,0.37,3.3,4.3,0.775,7.0,2.4,0.6,0.4,3.2,3.1,18.9,Dante Scott
2,2018-19,Mississippi Valley State,SWAC,31,26,985,5.8,15.3,0.38299999999999995,4.3,10.7,0.39899999999999997,1.6,4.6,0.345,3.8,5.2,0.721,6.5,2.3,0.9,0.3,2.0,2.6,17.1,Dante Scott
3,Career,Overall,,71,55,1960,6.3,15.9,0.395,4.6,11.0,0.41600000000000004,1.7,4.9,0.349,3.6,4.8,0.7440000000000001,6.8,2.3,0.8,0.3,2.6,2.8,17.8,Dante Scott
4,,Memphis,,10,0,27,1.5,22.2,0.067,1.5,13.3,0.111,0.0,8.9,0.0,3.0,4.4,0.667,8.9,0.0,1.5,0.0,0.0,1.5,5.9,Dante Scott
5,,Mississippi Valley State,,61,55,1933,6.3,15.8,0.402,4.6,11.0,0.42100000000000004,1.7,4.8,0.358,3.6,4.8,0.745,6.8,2.3,0.8,0.3,2.6,2.9,17.9,Dante Scott
0,2018-19,Missouri State,MVC,22,0,150,1.6,5.6,0.28600000000000003,1.6,5.6,0.28600000000000003,0.0,0.0,,0.5,1.6,0.33299999999999996,6.1,1.1,0.8,1.6,2.1,6.7,3.7,Darian Scott
1,2019-20,Missouri State,MVC,12,0,50,2.4,8.0,0.3,2.4,8.0,0.3,0.0,0.0,,4.0,8.8,0.455,12.8,0.0,0.0,2.4,3.2,5.6,8.8,Darian Scott
2,2020-21,Missouri State,MVC,12,0,48,1.7,2.5,0.667,1.7,2.5,0.667,0.0,0.0,,0.8,1.7,0.5,4.2,3.3,0.0,0.8,1.7,8.3,4.2,Darian Scott
3,Career,Missouri State,,46,0,248,1.8,5.5,0.324,1.8,5.5,0.324,0.0,0.0,,1.3,3.1,0.42100000000000004,7.1,1.3,0.5,1.6,2.3,6.8,4.8,Darian Scott
0,2013-14,Alabama State,SWAC,12,0,31,5.2,9.0,0.5710000000000001,3.9,5.2,0.75,1.3,3.9,0.33299999999999996,1.3,1.3,1.0,3.9,3.9,0.0,2.6,1.3,6.5,12.9,Darius Scott
1,2014-15,Alabama State,SWAC,9,0,30,2.7,10.7,0.25,2.7,9.3,0.28600000000000003,0.0,1.3,0.0,0.0,0.0,,2.7,1.3,0.0,0.0,2.7,5.3,5.3,Darius Scott
2,Career,Alabama State,,21,0,61,3.9,9.8,0.4,3.3,7.2,0.455,0.7,2.6,0.25,0.7,0.7,1.0,3.3,2.6,0.0,1.3,2.0,5.9,9.2,Darius Scott
0,2014-15,Central Michigan,MAC,32,0,276,4.3,7.5,0.5770000000000001,4.3,7.5,0.5770000000000001,0.0,0.0,,2.8,5.8,0.475,8.8,0.1,0.9,4.1,2.0,8.1,11.4,DaRohn Scott
1,2015-16,Central Michigan,MAC,33,1,381,4.3,6.6,0.6509999999999999,4.3,6.6,0.6509999999999999,0.0,0.0,,1.8,4.4,0.405,10.8,0.2,0.4,3.3,2.3,8.4,10.4,DaRohn Scott
2,2016-17,Central Michigan,MAC,32,1,449,3.6,5.2,0.69,3.6,5.2,0.69,0.0,0.0,,1.7,2.9,0.5760000000000001,13.3,0.2,0.9,3.5,1.9,8.8,8.8,DaRohn Scott
3,Career,Central Michigan,,97,2,1106,4.0,6.3,0.642,4.0,6.3,0.642,0.0,0.0,,2.0,4.2,0.478,11.3,0.2,0.7,3.5,2.1,8.5,10.0,DaRohn Scott
0,1996-97,Colgate,Patriot,26,,,,,0.242,,,0.25,,,0.222,,,0.618,,,,,,,,Darrin Scott
1,Career,Colgate,,26,,,,,0.242,,,0.25,,,0.222,,,0.618,,,,,,,,Darrin Scott
0,2001-02,George Washington,A-10,25,0,257,5.0,13.4,0.37200000000000005,4.7,11.5,0.405,0.3,1.9,0.16699999999999998,1.7,3.4,0.5,7.6,0.9,2.5,0.6,3.0,7.6,12.0,Darrio Scott
1,2003-04,Middle Tennessee,Sun Belt,10,0,124,6.5,13.2,0.488,5.8,9.7,0.6,0.6,3.5,0.182,2.6,5.5,0.47100000000000003,8.7,1.0,1.9,0.0,3.2,10.0,16.1,Darrio Scott
2,2004-05,Middle Tennessee,Sun Belt,10,1,90,8.4,13.8,0.613,7.1,10.2,0.696,1.3,3.6,0.375,3.1,4.9,0.636,9.3,2.2,2.2,0.0,4.4,6.2,21.3,Darrio Scott
3,Career,Overall,,45,1,471,6.0,13.4,0.449,5.4,10.8,0.504,0.6,2.6,0.226,2.2,4.2,0.52,8.2,1.2,2.3,0.3,3.3,8.0,14.9,Darrio Scott
4,,George Washington,,25,0,257,5.0,13.4,0.37200000000000005,4.7,11.5,0.405,0.3,1.9,0.16699999999999998,1.7,3.4,0.5,7.6,0.9,2.5,0.6,3.0,7.6,12.0,Darrio Scott
5,,Middle Tennessee,,20,1,214,7.3,13.5,0.542,6.4,9.9,0.642,0.9,3.6,0.263,2.8,5.2,0.536,9.0,1.5,2.1,0.0,3.7,8.4,18.3,Darrio Scott
0,1989-90,San Jose State,Big West,26,2,363,3.7,7.8,0.479,3.7,7.8,0.479,0.0,0.0,,1.7,3.6,0.455,7.5,0.9,1.1,1.7,2.6,7.1,9.1,Daryl Scott
1,1990-91,San Jose State,Big West,5,5,138,2.9,9.6,0.303,2.9,9.6,0.303,0.0,0.0,,1.4,2.9,0.5,10.7,1.7,0.9,1.4,2.9,3.8,7.2,Daryl Scott
2,1991-92,San Jose State,Big West,25,7,497,5.9,11.3,0.518,5.9,11.3,0.518,0.0,0.0,,2.7,4.7,0.5760000000000001,7.7,1.0,1.0,0.6,3.1,5.6,14.5,Daryl Scott
3,1992-93,San Jose State,Big West,25,25,718,8.1,15.8,0.511,8.0,15.8,0.509,0.1,0.1,1.0,4.1,5.8,0.7120000000000001,8.9,1.2,0.9,0.8,3.2,4.6,20.3,Daryl Scott
4,Career,San Jose State,,81,39,1716,6.1,12.3,0.495,6.1,12.3,0.494,0.0,0.0,1.0,3.0,4.8,0.621,8.4,1.1,1.0,1.0,3.1,5.3,15.2,Daryl Scott
0,2003-04,Appalachian State,Southern,23,0,179,3.8,9.6,0.395,3.4,6.3,0.536,0.4,3.4,0.133,3.1,4.9,0.636,3.4,1.8,1.1,0.0,1.3,2.7,11.2,Demetrius Scott
1,2004-05,Appalachian State,Southern,26,11,470,5.2,11.1,0.469,4.3,8.1,0.537,0.9,3.0,0.28600000000000003,2.5,3.4,0.725,4.7,2.9,1.7,0.3,2.7,3.5,13.7,Demetrius Scott
2,2005-06,Appalachian State,Southern,30,30,902,4.4,9.5,0.46299999999999997,3.9,7.7,0.514,0.4,1.8,0.244,1.9,2.6,0.7120000000000001,4.8,2.4,1.2,0.3,2.9,2.5,11.1,Demetrius Scott
3,2006-07,Appalachian State,Southern,32,30,844,5.7,10.0,0.573,5.7,9.7,0.585,0.0,0.3,0.16699999999999998,3.6,4.7,0.76,3.9,4.3,1.8,0.1,3.3,3.3,15.1,Demetrius Scott
4,Career,Appalachian State,,111,71,2395,5.0,10.0,0.498,4.6,8.4,0.5489999999999999,0.4,1.6,0.237,2.7,3.7,0.7290000000000001,4.4,3.1,1.5,0.2,2.9,3.0,13.0,Demetrius Scott
0,2005-06,North Florida,A-Sun,11,10,299,4.0,10.6,0.38,3.1,7.0,0.442,0.9,3.6,0.259,2.5,4.7,0.5429999999999999,2.8,3.5,1.5,0.1,2.7,3.9,11.5,Derrick Scott
1,Career,North Florida,,11,10,299,4.0,10.6,0.38,3.1,7.0,0.442,0.9,3.6,0.259,2.5,4.7,0.5429999999999999,2.8,3.5,1.5,0.1,2.7,3.9,11.5,Derrick Scott
0,2010-11,Winthrop,Big South,10,0,15,2.7,10.7,0.25,2.7,5.3,0.5,0.0,5.3,0.0,0.0,0.0,,5.3,2.7,0.0,2.7,2.7,8.0,5.3,Derrick Scott
1,2011-12,Winthrop,Big South,5,0,17,7.1,14.1,0.5,7.1,9.4,0.75,0.0,4.7,0.0,0.0,0.0,,14.1,0.0,0.0,4.7,2.4,4.7,14.1,Derrick Scott
2,Career,Winthrop,,15,0,32,5.0,12.5,0.4,5.0,7.5,0.667,0.0,5.0,0.0,0.0,0.0,,10.0,1.3,0.0,3.8,2.5,6.3,10.0,Derrick Scott
0,2012-13,Dayton,A-10,27,10,240,3.2,6.2,0.514,3.2,6.2,0.514,0.0,0.0,,2.8,5.2,0.5479999999999999,7.8,0.8,0.7,0.8,2.2,7.0,9.2,Devon Scott
1,2013-14,Dayton,A-10,35,7,441,4.0,7.1,0.564,4.0,7.1,0.564,0.0,0.0,,2.8,4.6,0.608,8.5,1.4,0.7,0.9,3.4,6.9,10.8,Devon Scott
2,2014-15,Dayton,A-10,9,9,249,4.5,7.1,0.636,4.5,7.1,0.636,0.0,0.0,,4.2,6.7,0.619,10.8,1.1,0.6,0.6,2.4,3.2,13.2,Devon Scott
3,Career,Dayton,,71,26,930,3.9,6.8,0.5720000000000001,3.9,6.8,0.5720000000000001,0.0,0.0,,3.2,5.3,0.597,8.9,1.2,0.7,0.8,2.8,5.9,11.0,Devon Scott
0,2003-04,Maryland-Eastern Shore,MEAC,21,4,240,3.3,9.0,0.37,3.2,7.3,0.43200000000000005,0.2,1.7,0.1,2.2,3.7,0.591,5.2,1.7,1.2,0.2,4.0,4.7,9.0,DeWitt Scott
1,2005-06,Purdue-Fort Wayne,Ind,28,28,965,5.6,12.7,0.436,2.7,6.2,0.43,2.9,6.5,0.44299999999999995,2.4,2.9,0.855,4.2,0.8,1.1,0.3,1.4,2.7,16.5,DeWitt Scott
2,2006-07,Purdue-Fort Wayne,Ind,29,15,782,5.4,12.0,0.451,1.7,3.6,0.47100000000000003,3.7,8.4,0.442,1.9,2.7,0.7120000000000001,3.8,0.9,1.2,0.2,1.4,3.9,16.5,DeWitt Scott
3,2007-08,Purdue-Fort Wayne,Summit,30,30,828,5.0,11.3,0.446,1.8,3.3,0.544,3.2,8.0,0.406,1.8,2.2,0.804,3.7,0.9,0.7,0.3,0.9,3.7,15.1,DeWitt Scott
4,Career,Overall,,108,77,2815,5.2,11.8,0.439,2.2,4.7,0.462,3.0,7.1,0.424,2.1,2.7,0.772,4.0,1.0,1.0,0.3,1.5,3.5,15.4,DeWitt Scott
5,,Maryland-Eastern Shore,,21,4,240,3.3,9.0,0.37,3.2,7.3,0.43200000000000005,0.2,1.7,0.1,2.2,3.7,0.591,5.2,1.7,1.2,0.2,4.0,4.7,9.0,DeWitt Scott
6,,Purdue-Fort Wayne,,87,73,2575,5.3,12.0,0.444,2.1,4.5,0.467,3.3,7.6,0.43,2.1,2.6,0.7959999999999999,3.9,0.9,1.0,0.3,1.2,3.4,16.0,DeWitt Scott
0,1997-98,UNC Wilmington,CAA,29,0,295,3.5,7.7,0.456,3.4,6.9,0.49,0.1,0.8,0.16699999999999998,1.4,2.6,0.526,5.6,1.2,2.2,0.1,2.4,4.6,8.5,Dominick Scott
1,1998-99,UNC Wilmington,CAA,26,6,214,1.5,6.7,0.222,1.5,6.4,0.235,0.0,0.4,0.0,1.3,2.6,0.5,6.7,2.1,0.0,0.4,2.2,4.9,4.3,Dominick Scott
2,1999-00,UNC Wilmington,CAA,23,3,234,2.4,6.8,0.35,2.2,5.6,0.39399999999999996,0.2,1.2,0.14300000000000002,1.5,2.7,0.563,6.2,1.9,2.1,0.9,2.7,5.1,6.5,Dominick Scott
3,2000-01,UNC Wilmington,CAA,12,11,231,2.3,5.2,0.433,1.7,3.5,0.5,0.5,1.7,0.3,1.2,2.4,0.5,6.8,2.3,1.7,0.2,3.1,5.0,6.2,Dominick Scott
4,Career,UNC Wilmington,,90,20,974,2.5,6.7,0.374,2.3,5.7,0.406,0.2,1.0,0.2,1.4,2.6,0.524,6.2,1.8,1.6,0.4,2.6,4.9,6.6,Dominick Scott
0,2007-08,Morgan State,MEAC,7,0,8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,5.0,5.0,5.0,0.0,5.0,5.0,0.0,Dominique Scott
1,Career,Morgan State,,7,0,8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,5.0,5.0,5.0,0.0,5.0,5.0,0.0,Dominique Scott
0,2019-20,Maryland,Big Ten,31,21,671,4.1,9.2,0.439,2.6,4.5,0.5660000000000001,1.5,4.7,0.316,1.3,1.5,0.846,6.7,1.0,0.8,0.2,1.0,3.4,10.9,Donta Scott
1,2020-21,Maryland,Big Ten,31,27,940,5.0,10.1,0.498,2.9,5.3,0.552,2.1,4.8,0.43799999999999994,2.3,3.5,0.6629999999999999,7.7,2.7,0.9,1.1,2.0,2.1,14.5,Donta Scott
2,Career,Maryland,,62,48,1611,4.6,9.7,0.474,2.8,5.0,0.557,1.8,4.7,0.387,1.9,2.7,0.706,7.3,2.0,0.9,0.7,1.5,2.7,13.0,Donta Scott
0,1997-98,Michigan,Big Ten,7,0,13,6.2,15.4,0.4,6.2,12.3,0.5,0.0,3.1,0.0,0.0,0.0,,9.2,3.1,9.2,0.0,3.1,12.3,12.3,Donte Scott
1,1998-99,Michigan,Big Ten,5,0,5,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,,0.0,0.0,,8.0,8.0,0.0,0.0,0.0,0.0,0.0,Donte Scott
2,Career,Michigan,,12,0,18,4.4,15.6,0.28600000000000003,4.4,13.3,0.33299999999999996,0.0,2.2,0.0,0.0,0.0,,8.9,4.4,6.7,0.0,2.2,8.9,8.9,Donte Scott
0,2006-07,Southern,SWAC,31,18,733,3.8,8.1,0.46299999999999997,3.7,7.7,0.479,0.1,0.4,0.14300000000000002,2.0,4.0,0.493,8.1,1.3,0.8,1.0,2.6,3.2,9.5,Doug Scott
1,2007-08,Southern,SWAC,30,4,548,2.8,7.3,0.38,2.7,6.6,0.40700000000000003,0.1,0.7,0.111,2.3,4.0,0.564,7.7,1.8,0.9,0.5,2.8,2.9,7.9,Doug Scott
2,2008-09,Southern,SWAC,31,24,800,4.0,7.7,0.519,3.5,6.4,0.547,0.5,1.3,0.385,2.1,3.5,0.586,11.2,1.8,0.8,0.5,2.3,3.4,10.6,Doug Scott
3,2009-10,Southern,SWAC,19,16,562,4.6,13.2,0.34600000000000003,3.8,9.1,0.414,0.8,4.1,0.193,3.8,6.9,0.546,9.5,2.6,1.4,1.3,4.1,3.6,13.7,Doug Scott
4,Career,Southern,,111,62,2643,3.8,8.9,0.42700000000000005,3.5,7.4,0.466,0.3,1.5,0.23199999999999998,2.4,4.5,0.546,9.2,1.8,0.9,0.8,2.9,3.3,10.4,Doug Scott
0,2009-10,NJIT,GWC,11,7,292,3.3,12.2,0.27,1.1,3.8,0.28600000000000003,2.2,8.4,0.262,1.1,1.8,0.615,3.7,2.6,1.0,0.0,2.7,1.6,9.9,Drejon Scott
1,Career,NJIT,,11,7,292,3.3,12.2,0.27,1.1,3.8,0.28600000000000003,2.2,8.4,0.262,1.1,1.8,0.615,3.7,2.6,1.0,0.0,2.7,1.6,9.9,Drejon Scott
0,2009-10,Miami (FL),ACC,33,28,917,5.5,12.1,0.455,4.8,9.6,0.502,0.7,2.5,0.276,3.1,4.6,0.67,5.7,4.9,1.8,0.3,3.2,3.0,14.8,Durand Scott
1,2010-11,Miami (FL),ACC,36,35,1182,5.5,12.3,0.445,4.6,10.0,0.45799999999999996,0.9,2.3,0.391,4.7,5.6,0.8370000000000001,5.1,3.8,1.5,0.1,3.4,3.1,16.6,Durand Scott
2,2011-12,Miami (FL),ACC,30,30,997,5.5,12.0,0.45299999999999996,4.7,9.6,0.49,0.8,2.4,0.311,3.9,4.9,0.795,6.5,3.7,1.2,0.2,2.2,2.7,15.6,Durand Scott
3,2012-13,Miami (FL),ACC,33,32,1142,5.5,12.0,0.45299999999999996,4.2,8.5,0.496,1.3,3.6,0.353,3.0,4.0,0.752,4.6,3.0,1.8,0.1,2.3,2.6,15.2,Durand Scott
4,Career,Miami (FL),,132,125,4238,5.5,12.1,0.451,4.5,9.4,0.484,0.9,2.7,0.33799999999999997,3.7,4.8,0.773,5.4,3.8,1.6,0.2,2.8,2.9,15.6,Durand Scott
0,2007-08,College of Charleston,Southern,32,29,947,5.7,10.8,0.531,4.5,7.5,0.601,1.2,3.3,0.37200000000000005,1.8,2.8,0.642,9.1,2.7,1.9,1.8,3.1,4.3,14.5,Dustin Scott
1,2008-09,College of Charleston,Southern,36,36,975,5.5,10.6,0.519,4.9,8.5,0.5720000000000001,0.6,2.1,0.3,1.8,3.2,0.564,10.7,3.3,2.0,1.9,3.0,5.0,13.4,Dustin Scott
2,Career,College of Charleston,,68,65,1922,5.6,10.7,0.525,4.7,8.0,0.585,0.9,2.7,0.344,1.8,3.0,0.6,9.9,3.0,1.9,1.9,3.0,4.6,14.0,Dustin Scott
0,2017-18,Penn,Ivy,9,0,100,5.2,10.0,0.52,4.4,7.6,0.579,0.8,2.4,0.33299999999999996,2.0,6.4,0.313,10.8,0.8,0.8,0.0,2.8,6.0,13.2,Eddie Scott
1,2018-19,Penn,Ivy,19,0,81,4.4,12.3,0.36,2.5,5.9,0.41700000000000004,2.0,6.4,0.308,1.5,2.0,0.75,7.4,2.5,2.0,0.5,4.0,4.4,12.3,Eddie Scott
2,2019-20,Penn,Ivy,25,11,439,3.8,7.5,0.512,2.6,3.1,0.8240000000000001,1.3,4.4,0.292,1.9,2.7,0.7,7.4,2.0,0.8,0.1,1.7,3.8,10.8,Eddie Scott
