2P,2P%,2PA,3P,3P%,3PA,AST,BLK,Conf,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,PF,PTS,STL,School,Season,TOV,TRB,player
5.1,0.526,9.7,0.0,,0.0,1.1,0.5,Ivy,5.1,0.526,9.7,3.5,0.737,4.7,24,0.0,322.0,5.2,13.7,0.4,Cornell,2006-07,2.7,7.3,Alex Tyler
5.7,0.541,10.5,0.0,0.0,0.1,1.5,1.1,Ivy,5.7,0.5379999999999999,10.5,3.3,0.6759999999999999,4.9,27,27.0,607.0,5.1,14.6,0.7,Cornell,2007-08,3.0,7.5,Alex Tyler
5.0,0.49700000000000005,10.0,0.0,,0.0,2.2,1.9,Ivy,5.0,0.49700000000000005,10.0,2.4,0.7190000000000001,3.3,31,30.0,690.0,3.5,12.3,1.1,Cornell,2008-09,2.2,8.2,Alex Tyler
3.5,0.348,10.0,0.0,,0.0,1.7,2.0,Ivy,3.5,0.348,10.0,3.3,0.7929999999999999,4.2,26,6.0,277.0,5.9,10.3,1.0,Cornell,2009-10,2.6,5.6,Alex Tyler
5.0,0.495,10.1,0.0,0.0,0.0,1.7,1.4,,5.0,0.494,10.1,3.0,0.7170000000000001,4.2,108,63.0,1896.0,4.7,13.0,0.8,Cornell,Career,2.6,7.5,Alex Tyler
2.2,0.41700000000000004,5.4,0.4,0.16699999999999998,2.7,5.4,0.3,Ind,2.7,0.33299999999999996,8.0,1.6,0.7859999999999999,2.1,17,,269.0,2.7,7.4,2.5,DePaul,1989-90,6.2,2.2,B.J. Tyler
4.4,0.494,8.9,2.8,0.365,7.6,7.5,0.2,SWC,7.1,0.435,16.4,4.0,0.792,5.1,35,,1215.0,2.5,21.1,2.7,Texas,1991-92,4.5,3.3,B.J. Tyler
4.1,0.5489999999999999,7.5,3.0,0.355,8.5,6.9,0.2,SWC,7.1,0.446,15.9,3.3,0.632,5.2,13,,440.0,2.2,20.5,3.0,Texas,1992-93,4.1,4.5,B.J. Tyler
4.9,0.528,9.3,4.2,0.374,11.4,7.5,0.3,SWC,9.1,0.44299999999999995,20.6,4.8,0.727,6.6,28,23.0,932.0,2.3,27.3,3.7,Texas,1993-94,4.2,4.0,B.J. Tyler
4.3,0.509,8.4,3.1,0.361,8.5,7.2,0.3,,7.4,0.435,16.9,3.9,0.741,5.3,93,23.0,2856.0,2.4,21.7,3.1,Overall,Career,4.5,3.6,B.J. Tyler
2.2,0.41700000000000004,5.4,0.4,0.16699999999999998,2.7,5.4,0.3,,2.7,0.33299999999999996,8.0,1.6,0.7859999999999999,2.1,17,,269.0,2.7,7.4,2.5,DePaul,,6.2,2.2,B.J. Tyler
4.5,0.515,8.8,3.3,0.36700000000000005,9.1,7.4,0.2,,7.9,0.44,17.9,4.2,0.74,5.6,76,23.0,2587.0,2.4,23.2,3.1,Texas,,4.3,3.7,B.J. Tyler
3.1,0.39,7.9,0.6,0.261,2.2,5.9,0.1,NEC,3.7,0.36200000000000004,10.1,6.2,0.711,8.7,28,1.0,414.0,3.5,14.1,1.2,Fairleigh Dickinson,2005-06,5.2,3.9,Cameron Tyler
5.2,0.5,10.3,0.9,0.266,3.2,6.3,0.0,NEC,6.0,0.444,13.6,4.6,0.685,6.8,30,30.0,975.0,2.7,17.6,0.7,Fairleigh Dickinson,2006-07,4.9,5.5,Cameron Tyler
3.9,0.428,9.2,0.8,0.259,3.2,6.0,0.1,NEC,4.7,0.384,12.4,4.7,0.665,7.1,30,28.0,1062.0,2.3,15.0,1.2,Fairleigh Dickinson,2008-09,4.9,3.8,Cameron Tyler
4.3,0.45399999999999996,9.4,0.8,0.262,3.1,6.1,0.1,,5.1,0.40700000000000003,12.5,4.9,0.682,7.2,88,59.0,2451.0,2.7,15.9,1.0,Fairleigh Dickinson,Career,4.9,4.5,Cameron Tyler
6.6,0.563,11.8,0.0,,0.0,1.7,1.6,MAAC,6.6,0.563,11.8,1.3,0.579,2.2,27,1.0,349.0,5.4,14.6,0.8,Manhattan,2001-02,2.9,8.0,Darnell Tyler
4.0,0.33299999999999996,12.0,0.0,0.0,1.0,0.0,2.0,MAAC,4.0,0.308,13.0,3.0,0.5,6.0,11,0.0,40.0,5.0,11.0,1.0,Manhattan,2002-03,7.0,13.0,Darnell Tyler
6.4,0.539,11.8,0.0,0.0,0.1,1.5,1.6,,6.4,0.534,11.9,1.4,0.56,2.6,38,1.0,389.0,5.3,14.2,0.8,Manhattan,Career,3.3,8.5,Darnell Tyler
3.8,0.515,7.3,0.4,0.16699999999999998,2.7,1.1,0.9,Horizon,4.2,0.42200000000000004,10.0,1.1,0.385,2.9,20,0.0,180.0,2.9,10.0,0.9,UIC,2010-11,2.0,8.7,Dorian Tyler
2.3,0.353,6.6,0.4,0.16699999999999998,2.3,1.9,0.0,Horizon,2.7,0.304,8.9,0.0,0.0,0.8,19,0.0,103.0,3.1,5.8,0.8,UIC,2011-12,3.5,10.9,Dorian Tyler
3.3,0.46,7.1,0.4,0.16699999999999998,2.5,1.4,0.6,,3.7,0.382,9.6,0.7,0.33299999999999996,2.1,39,0.0,283.0,3.0,8.5,0.8,UIC,Career,2.5,9.5,Dorian Tyler
5.9,0.613,9.6,0.0,,0.0,0.8,1.9,Big East,5.9,0.613,9.6,3.1,0.632,4.9,28,0.0,312.0,5.3,14.9,2.1,Miami (FL),1997-98,4.2,9.4,Elton Tyler
4.8,0.584,8.2,0.0,,0.0,1.5,1.8,Big East,4.8,0.584,8.2,2.1,0.526,4.1,30,3.0,375.0,4.5,11.7,1.7,Miami (FL),1998-99,4.3,7.7,Elton Tyler
5.9,0.516,11.5,0.0,0.25,0.2,1.6,1.6,Big East,6.0,0.512,11.7,3.6,0.777,4.7,34,34.0,877.0,4.0,15.6,1.1,Miami (FL),1999-00,2.8,8.5,Elton Tyler
6.0,0.593,10.2,0.4,0.429,0.9,1.6,2.1,Big East,6.4,0.58,11.1,3.2,0.758,4.3,32,32.0,927.0,3.7,16.5,1.0,Miami (FL),2001-02,2.6,7.2,Elton Tyler
5.8,0.564,10.3,0.2,0.4,0.4,1.4,1.8,,6.0,0.5579999999999999,10.7,3.2,0.716,4.5,124,69.0,2491.0,4.1,15.3,1.3,Miami (FL),Career,3.1,8.0,Elton Tyler
1.2,0.272,4.5,1.3,0.387,3.4,4.7,0.0,Summit,2.5,0.322,7.9,1.7,0.7559999999999999,2.3,28,20.0,722.0,2.8,8.1,0.7,UMKC,2011-12,3.3,3.7,Estan Tyler
2.5,0.419,6.0,2.4,0.43200000000000005,5.7,3.8,0.0,Summit,5.0,0.425,11.7,2.0,0.8420000000000001,2.3,31,30.0,983.0,2.4,14.3,0.7,UMKC,2012-13,3.5,3.0,Estan Tyler
2.6,0.445,5.9,1.9,0.365,5.1,3.0,0.1,Big Sky,4.5,0.408,11.0,3.8,0.8190000000000001,4.6,27,22.0,812.0,3.1,14.6,1.4,North Dakota,2014-15,3.1,3.3,Estan Tyler
2.2,0.39399999999999996,5.5,1.9,0.4,4.8,3.8,0.0,,4.1,0.397,10.4,2.5,0.813,3.1,86,72.0,2517.0,2.7,12.6,0.9,Overall,Career,3.3,3.3,Estan Tyler
2.0,0.36700000000000005,5.4,2.0,0.418,4.7,4.2,0.0,,3.9,0.391,10.1,1.9,0.8059999999999999,2.3,59,50.0,1705.0,2.6,11.7,0.7,UMKC,,3.4,3.3,Estan Tyler
2.6,0.445,5.9,1.9,0.365,5.1,3.0,0.1,,4.5,0.408,11.0,3.8,0.8190000000000001,4.6,27,22.0,812.0,3.1,14.6,1.4,North Dakota,,3.1,3.3,Estan Tyler
4.0,1.0,4.0,8.0,1.0,8.0,0.0,0.0,SEC,12.0,1.0,12.0,4.0,0.5,8.0,7,0.0,10.0,0.0,36.0,0.0,Florida,2004-05,0.0,20.0,Garrett Tyler
4.0,0.5,8.0,1.0,0.25,4.0,0.0,2.0,SEC,5.0,0.41700000000000004,12.0,6.0,0.857,7.0,16,0.0,40.0,3.0,17.0,2.0,Florida,2005-06,3.0,9.0,Garrett Tyler
9.2,1.0,9.2,0.0,0.0,3.1,0.0,0.0,SEC,9.2,0.75,12.3,0.0,,0.0,9,0.0,13.0,0.0,18.5,6.2,Florida,2006-07,6.2,9.2,Garrett Tyler
5.1,0.667,7.6,1.9,0.429,4.4,0.0,1.3,,7.0,0.579,12.1,4.4,0.778,5.7,32,0.0,63.0,1.9,20.3,2.5,Florida,Career,3.2,10.8,Garrett Tyler
4.1,0.375,11.0,0.8,0.267,3.2,3.5,0.2,CUSA,5.0,0.35100000000000003,14.2,3.4,0.653,5.2,31,1.0,378.0,2.9,14.2,1.3,Alabama-Birmingham,2011-12,5.6,5.3,Jekore Tyler
6.7,0.531,12.7,2.4,0.33299999999999996,7.1,2.8,0.8,CUSA,9.1,0.46,19.8,2.4,0.6,4.0,8,0.0,101.0,3.2,23.0,3.2,Alabama-Birmingham,2012-13,3.6,7.1,Jekore Tyler
4.7,0.41200000000000003,11.4,1.2,0.292,4.0,3.3,0.3,,5.8,0.38,15.4,3.2,0.644,4.9,39,1.0,479.0,2.9,16.0,1.7,Alabama-Birmingham,Career,5.2,5.7,Jekore Tyler
3.4,0.489,6.9,2.6,0.429,6.2,1.8,0.4,MAC,6.0,0.461,13.1,1.2,0.727,1.6,9,9.0,272.0,2.9,15.9,1.8,Ball State,2014-15,2.8,5.0,Jeremie Tyler
2.8,0.431,6.5,3.0,0.36,8.2,1.7,0.6,MAC,5.8,0.391,14.8,1.6,0.7559999999999999,2.1,35,18.0,796.0,2.9,16.1,1.2,Ball State,2015-16,1.3,2.9,Jeremie Tyler
3.7,0.529,7.1,2.4,0.369,6.6,2.0,0.3,MAC,6.2,0.452,13.7,2.3,0.92,2.5,20,0.0,395.0,3.8,17.1,1.9,Ball State,2016-17,3.1,2.9,Jeremie Tyler
2.2,0.385,5.7,3.2,0.449,7.2,2.0,1.3,MAC,5.4,0.42,12.8,1.5,0.667,2.2,15,0.0,274.0,1.9,15.5,1.9,Ball State,2017-18,2.6,3.4,Jeremie Tyler
3.0,0.45799999999999996,6.6,2.8,0.384,7.4,1.8,0.6,,5.8,0.419,14.0,1.7,0.7829999999999999,2.1,79,27.0,1737.0,3.0,16.2,1.6,Ball State,Career,2.2,3.3,Jeremie Tyler
3.2,0.75,4.2,1.1,0.16699999999999998,6.3,1.1,0.0,Horizon,4.2,0.4,10.5,2.1,0.33299999999999996,6.3,9,0.0,38.0,6.3,11.6,0.0,Milwaukee,2009-10,0.0,9.5,Michael Tyler
3.2,0.75,4.2,1.1,0.16699999999999998,6.3,1.1,0.0,,4.2,0.4,10.5,2.1,0.33299999999999996,6.3,9,0.0,38.0,6.3,11.6,0.0,Milwaukee,Career,0.0,9.5,Michael Tyler
,0.495,,,0.0,,,,SWAC,,0.474,,,0.645,,26,,,,,,Alabama State,1992-93,,,Michael Tyler
,0.425,,,0.25,,,,SWAC,,0.405,,,0.586,,28,,,,,,Alabama State,1993-94,,,Michael Tyler
5.7,0.469,12.2,1.4,0.33799999999999997,4.1,2.6,1.0,SWAC,7.1,0.43700000000000006,16.3,3.6,0.695,5.1,21,20.0,641.0,4.2,19.2,1.9,Alabama State,1994-95,3.1,6.3,Michael Tyler
13.2,0.461,28.7,1.7,0.3,5.6,4.2,1.6,,14.9,0.435,34.3,8.6,0.645,13.4,75,20.0,641.0,4.2,40.1,3.7,Alabama State,Career,3.1,17.7,Michael Tyler
3.0,0.528,5.7,0.3,0.5,0.6,0.9,0.8,Big Sky,3.3,0.525,6.3,1.1,0.7,1.6,25,1.0,254.0,5.5,8.0,2.4,Idaho State,2013-14,2.0,5.7,Scotty Tyler
4.1,0.455,9.0,0.0,0.0,0.8,3.3,0.8,Horizon,4.1,0.41700000000000004,9.8,0.0,,0.0,12,0.0,49.0,8.2,8.2,0.8,Milwaukee,2015-16,0.8,12.2,Scotty Tyler
3.2,0.511,6.2,0.3,0.4,0.7,1.3,0.8,,3.4,0.5,6.9,0.9,0.7,1.3,37,1.0,303.0,5.9,8.1,2.1,Overall,Career,1.8,6.7,Scotty Tyler
3.0,0.528,5.7,0.3,0.5,0.6,0.9,0.8,,3.3,0.525,6.3,1.1,0.7,1.6,25,1.0,254.0,5.5,8.0,2.4,Idaho State,,2.0,5.7,Scotty Tyler
4.1,0.455,9.0,0.0,0.0,0.8,3.3,0.8,,4.1,0.41700000000000004,9.8,0.0,,0.0,12,0.0,49.0,8.2,8.2,0.8,Milwaukee,,0.8,12.2,Scotty Tyler
4.2,0.522,8.0,0.0,0.0,0.5,2.1,0.9,Southern,4.2,0.49,8.5,1.2,0.5379999999999999,2.3,28,2.0,230.0,2.8,9.6,1.2,Appalachian State,1996-97,3.5,7.1,Terrance Tyler
5.9,0.564,10.5,0.0,0.0,0.1,3.4,0.9,Southern,5.9,0.557,10.6,2.1,0.5329999999999999,4.0,29,0.0,298.0,3.2,14.0,1.6,Appalachian State,1997-98,4.2,10.7,Terrance Tyler
5.2,0.5479999999999999,9.4,0.0,0.0,0.3,2.8,0.9,,5.2,0.531,9.7,1.7,0.535,3.3,57,2.0,528.0,3.0,12.0,1.4,Appalachian State,Career,3.9,9.2,Terrance Tyler
2.3,0.368,6.4,0.3,0.5710000000000001,0.6,1.3,0.3,Summit,2.7,0.386,6.9,2.3,0.614,3.7,28,22.0,478.0,4.1,7.9,0.5,Western Illinois,2008-09,2.4,5.1,Tommie Tyler
2.6,0.42700000000000005,6.1,0.6,0.33299999999999996,1.7,2.2,0.4,Summit,3.2,0.406,7.8,3.2,0.672,4.7,24,14.0,491.0,4.6,10.1,0.8,Western Illinois,2009-10,2.7,3.7,Tommie Tyler
2.8,0.409,6.9,0.3,0.28600000000000003,1.1,2.1,0.2,Summit,3.1,0.392,8.0,2.2,0.444,4.9,16,14.0,512.0,2.9,8.8,0.7,Western Illinois,2010-11,1.9,4.1,Tommie Tyler
2.6,0.39399999999999996,6.6,0.6,0.25,2.3,2.7,0.2,Summit,3.2,0.35700000000000004,8.9,2.4,0.636,3.8,32,29.0,1053.0,2.3,9.3,0.9,Western Illinois,2011-12,3.0,2.8,Tommie Tyler
2.6,0.39899999999999997,6.5,0.5,0.294,1.6,2.2,0.2,,3.1,0.37799999999999995,8.1,2.5,0.595,4.2,100,79.0,2534.0,3.2,9.1,0.8,Western Illinois,Career,2.6,3.7,Tommie Tyler
3.5,0.38299999999999995,9.2,0.9,0.21600000000000003,4.3,3.0,0.1,A-10,4.5,0.33,13.5,4.6,0.726,6.3,30,29.0,1038.0,2.2,14.5,1.4,Temple,2004-05,2.1,6.4,Mark Tyndale
3.2,0.41700000000000004,7.7,0.8,0.32,2.6,3.0,0.2,A-10,4.0,0.39299999999999996,10.2,3.1,0.599,5.2,32,32.0,1166.0,2.1,12.0,2.5,Temple,2005-06,2.4,5.6,Mark Tyndale
6.8,0.565,12.1,1.2,0.429,2.7,3.3,0.5,A-10,8.0,0.539,14.8,5.5,0.711,7.7,24,17.0,821.0,2.8,22.7,1.8,Temple,2006-07,3.2,7.8,Mark Tyndale
4.6,0.525,8.7,1.0,0.368,2.7,4.6,0.7,A-10,5.6,0.488,11.5,4.8,0.71,6.7,34,34.0,1272.0,2.3,17.0,1.7,Temple,2007-08,3.7,7.7,Mark Tyndale
4.4,0.47600000000000003,9.2,1.0,0.316,3.1,3.5,0.4,,5.4,0.436,12.3,4.4,0.6890000000000001,6.4,120,112.0,4297.0,2.3,16.1,1.9,Temple,Career,2.8,6.8,Mark Tyndale
0.5,0.231,2.4,0.7,0.28600000000000003,2.5,6.5,0.4,OVC,1.3,0.259,4.9,1.8,0.7140000000000001,2.5,24,,220.0,,5.1,0.5,Morehead State,1990-91,,2.7,Don Tyndall
,0.409,,,0.1,,,,OVC,,0.313,,,0.607,,25,,,,,,Morehead State,1991-92,,,Don Tyndall
1.4,0.33299999999999996,4.1,2.8,1.0,2.8,4.1,0.0,OVC,4.1,0.6,6.9,0.0,,0.0,4,0.0,29.0,4.1,11.0,1.4,Morehead State,1992-93,5.5,5.5,Don Tyndall
2.1,0.342,6.1,1.1,0.26899999999999996,4.2,15.7,0.3,,3.2,0.313,10.3,4.3,0.643,6.7,53,0.0,249.0,,11.9,2.6,Morehead State,Career,,6.6,Don Tyndall
0.0,0.0,5.0,0.0,,0.0,20.0,0.0,ACC,0.0,0.0,5.0,5.0,0.5,10.0,8,0.0,8.0,0.0,5.0,0.0,UNC,1995-96,0.0,0.0,Webb Tyndall
0.0,0.0,1.8,0.9,0.2,4.4,2.7,0.0,ACC,0.9,0.14300000000000002,6.2,7.1,0.8,8.9,17,2.0,45.0,4.4,9.8,0.9,UNC,1996-97,5.3,6.2,Webb Tyndall
0.0,0.0,2.3,0.8,0.2,3.8,5.3,0.0,,0.8,0.125,6.0,6.8,0.75,9.1,25,2.0,53.0,3.8,9.1,0.8,UNC,Career,4.5,5.3,Webb Tyndall
,0.294,,,0.105,,,,WAC,,0.226,,,0.5,,24,,,,,,Rice,1997-98,,,Shawn Tyndell
,0.308,,,0.465,,,,WAC,,0.406,,,0.5379999999999999,,26,,,,,,Rice,1998-99,,,Shawn Tyndell
,0.375,,,0.16699999999999998,,,,WAC,,0.28600000000000003,,,0.7140000000000001,,2,2.0,,,,,Rice,1999-00,,,Shawn Tyndell
,0.33799999999999997,,,0.374,,,,WAC,,0.358,,,0.69,,30,30.0,,,,,Rice,2000-01,,,Shawn Tyndell
1.9,0.355,5.4,1.5,0.282,5.4,2.7,0.1,WAC,3.4,0.318,10.7,2.3,0.8140000000000001,2.9,29,23.0,819.0,2.7,10.7,0.8,Rice,2001-02,3.1,4.6,Shawn Tyndell
5.1,0.33799999999999997,15.2,5.8,0.33799999999999997,17.2,6.9,0.2,,10.9,0.33799999999999997,32.4,4.8,0.705,6.8,111,55.0,819.0,6.6,32.5,2.9,Rice,Career,5.8,12.8,Shawn Tyndell
2.7,0.569,4.8,0.4,0.235,1.6,0.9,0.2,Patriot,3.1,0.485,6.4,1.8,0.5760000000000001,3.1,32,6.0,428.0,4.0,8.3,0.6,Boston University,2018-19,2.1,5.5,Fletcher Tynen
2.4,0.48200000000000004,5.0,0.3,0.25,1.1,1.5,0.4,Patriot,2.7,0.441,6.0,3.1,0.6729999999999999,4.6,32,0.0,451.0,3.5,8.7,0.8,Boston University,2019-20,2.7,5.7,Fletcher Tynen
3.8,0.581,6.5,1.1,0.292,3.6,1.1,0.5,Patriot,4.8,0.478,10.1,1.7,0.611,2.7,16,5.0,265.0,3.9,12.4,0.6,Boston University,2020-21,2.0,6.8,Fletcher Tynen
2.8,0.54,5.2,0.5,0.264,1.9,1.2,0.3,,3.3,0.46799999999999997,7.1,2.3,0.631,3.6,80,11.0,1144.0,3.8,9.4,0.7,Boston University,Career,2.3,5.9,Fletcher Tynen
3.9,0.561,7.0,0.7,0.33299999999999996,2.1,3.1,0.0,Big Sky,4.6,0.509,9.1,3.4,0.7140000000000001,4.8,21,1.0,233.0,4.6,13.4,2.7,Montana State,2020-21,1.4,5.5,Kellen Tynes
3.9,0.561,7.0,0.7,0.33299999999999996,2.1,3.1,0.0,,4.6,0.509,9.1,3.4,0.7140000000000001,4.8,21,1.0,233.0,4.6,13.4,2.7,Montana State,Career,1.4,5.5,Kellen Tynes
2.6,0.414,6.3,0.4,0.091,4.8,2.0,0.4,CAA,3.0,0.275,11.1,0.4,0.222,2.0,30,0.0,184.0,3.7,7.0,1.7,George Mason,2000-01,2.6,7.4,Richard Tynes
2.8,0.439,6.4,0.6,0.222,2.8,2.3,0.3,CAA,3.4,0.373,9.2,0.9,0.5,1.9,29,0.0,256.0,4.7,8.4,0.8,George Mason,2001-02,2.0,8.0,Richard Tynes
2.9,0.42200000000000004,6.8,0.3,0.16699999999999998,2.0,1.4,0.2,CAA,3.2,0.364,8.8,1.3,0.679,1.9,25,16.0,601.0,2.8,8.0,1.9,George Mason,2002-03,2.5,7.4,Richard Tynes
4.0,0.528,7.5,0.0,0.0,0.6,1.0,0.4,CAA,4.0,0.48700000000000004,8.2,1.3,0.545,2.3,21,7.0,191.0,2.9,9.2,1.9,George Mason,2003-04,2.5,8.8,Richard Tynes
3.0,0.442,6.8,0.4,0.151,2.4,1.6,0.3,,3.3,0.36700000000000005,9.1,1.1,0.55,1.9,105,23.0,1232.0,3.3,8.1,1.7,George Mason,Career,2.4,7.7,Richard Tynes
,0.418,,,0.182,,,,SWC,,0.40299999999999997,,,0.655,,27,,,,,,Rice,1989-90,,,Scott Tynes
5.6,0.5,11.2,0.0,0.0,0.6,1.9,0.3,SWC,5.6,0.474,11.8,3.4,0.564,6.0,24,0.0,258.0,5.0,14.6,1.6,Rice,1991-92,3.3,9.8,Scott Tynes
,0.545,,,0.313,,,,SWC,,0.524,,,0.561,,28,,,,,,Rice,1992-93,,,Scott Tynes
7.2,0.514,14.1,0.2,0.125,1.2,3.1,0.2,SWC,7.4,0.483,15.3,1.4,0.475,3.0,29,29.0,791.0,3.5,16.3,1.3,Rice,1993-94,2.2,9.0,Scott Tynes
12.7,0.496,25.5,0.4,0.182,2.1,5.1,0.9,,13.0,0.47200000000000003,27.6,4.0,0.5489999999999999,7.4,108,29.0,1049.0,3.9,30.5,2.2,Rice,Career,2.5,18.1,Scott Tynes
0.0,,0.0,0.0,,0.0,0.0,0.0,Big Ten,0.0,,0.0,6.7,0.5,13.3,2,0.0,6.0,6.7,6.7,0.0,Nebraska,2011-12,0.0,13.3,Jordan Tyrance
2.7,0.444,6.0,0.0,0.0,1.7,1.3,0.7,Big Ten,2.7,0.348,7.7,2.3,0.778,3.0,23,0.0,120.0,5.0,7.7,0.7,Nebraska,2012-13,3.0,8.0,Jordan Tyrance
2.5,0.444,5.7,0.0,0.0,1.6,1.3,0.6,,2.5,0.348,7.3,2.5,0.727,3.5,25,0.0,126.0,5.1,7.6,0.6,Nebraska,Career,2.9,8.3,Jordan Tyrance
3.6,0.41100000000000003,8.7,1.7,0.31,5.3,4.0,0.0,SEC,5.2,0.373,14.0,3.2,0.703,4.5,34,22.0,651.0,3.3,15.3,1.4,Ole Miss,2016-17,4.4,3.9,Breein Tyree
3.7,0.42100000000000004,8.8,2.3,0.35600000000000004,6.5,4.5,0.4,SEC,6.0,0.39399999999999996,15.4,2.8,0.7,4.0,32,23.0,807.0,3.2,17.2,1.1,Ole Miss,2017-18,2.9,3.5,Breein Tyree
4.6,0.522,8.8,2.5,0.375,6.6,3.3,0.5,SEC,7.1,0.45899999999999996,15.4,4.6,0.831,5.5,33,33.0,1117.0,2.3,21.2,1.1,Ole Miss,2018-19,2.9,3.5,Breein Tyree
5.0,0.469,10.7,2.4,0.36,6.6,2.9,0.1,SEC,7.4,0.42700000000000005,17.4,5.5,0.8220000000000001,6.7,31,30.0,1073.0,2.4,22.7,1.5,Ole Miss,2019-20,2.8,4.3,Breein Tyree
4.3,0.465,9.3,2.3,0.35600000000000004,6.4,3.6,0.3,,6.6,0.42100000000000004,15.7,4.2,0.787,5.4,130,108.0,3648.0,2.7,19.7,1.3,Ole Miss,Career,3.1,3.8,Breein Tyree
8.0,1.0,8.0,0.0,,0.0,0.0,0.0,Big East,8.0,1.0,8.0,0.0,,0.0,3,0.0,5.0,8.0,16.0,0.0,Cincinnati,2009-10,8.0,0.0,Eddie Tyree
3.1,0.33299999999999996,9.2,0.0,,0.0,0.0,0.0,Big East,3.1,0.33299999999999996,9.2,0.0,0.0,3.1,8,0.0,13.0,6.2,6.2,0.0,Cincinnati,2010-11,3.1,0.0,Eddie Tyree
4.4,0.5,8.9,0.0,,0.0,0.0,0.0,,4.4,0.5,8.9,0.0,0.0,2.2,11,0.0,18.0,6.7,8.9,0.0,Cincinnati,Career,4.4,0.0,Eddie Tyree
2.4,0.359,6.6,3.1,0.257,11.9,1.3,0.1,AEC,5.4,0.294,18.5,3.4,0.889,3.8,30,8.0,472.0,2.9,17.3,1.4,Stony Brook,2007-08,1.9,3.1,Michael Tyree
2.5,0.375,6.6,2.9,0.292,9.9,0.8,0.0,AEC,5.4,0.325,16.5,2.1,0.833,2.5,10,3.0,97.0,2.1,15.7,2.1,Stony Brook,2008-09,2.9,2.5,Michael Tyree
2.4,0.36200000000000004,6.6,3.0,0.262,11.5,1.2,0.1,,5.4,0.298,18.1,3.2,0.882,3.6,40,11.0,569.0,2.7,17.0,1.5,Stony Brook,Career,2.1,3.0,Michael Tyree
1.7,0.769,2.2,0.3,0.4,0.9,3.3,0.2,Patriot,2.1,0.667,3.1,1.6,0.529,2.9,20,0.0,232.0,5.3,6.0,1.4,Bucknell,2006-07,2.4,6.6,Stephen Tyree
3.3,0.635,5.3,0.2,0.222,0.8,4.0,0.2,Patriot,3.5,0.579,6.1,2.8,0.632,4.4,31,31.0,872.0,4.6,10.0,1.2,Bucknell,2007-08,3.1,6.9,Stephen Tyree
2.2,0.479,4.6,0.5,0.5,1.0,2.6,0.2,Patriot,2.7,0.48200000000000004,5.6,2.8,0.6829999999999999,4.0,31,31.0,814.0,4.2,8.6,1.6,Bucknell,2009-10,2.2,7.9,Stephen Tyree
0.8,0.5,1.6,0.0,0.0,0.8,1.6,1.6,Patriot,0.8,0.33299999999999996,2.4,1.6,0.4,4.0,11,0.0,50.0,12.0,3.2,0.0,Bucknell,2010-11,2.4,11.2,Stephen Tyree
2.6,0.5760000000000001,4.6,0.3,0.364,0.9,3.3,0.2,,2.9,0.541,5.4,2.6,0.638,4.0,93,62.0,1968.0,4.7,8.8,1.3,Bucknell,Career,2.6,7.4,Stephen Tyree
3.7,0.5820000000000001,6.3,0.1,0.1,0.9,0.8,1.1,Sun Belt,3.8,0.519,7.2,1.6,0.5479999999999999,2.9,32,1.0,425.0,4.6,9.2,0.8,New Orleans,2007-08,2.4,8.4,Jaroslav Tyrna
3.3,0.488,6.7,0.3,0.278,0.9,1.8,1.0,Sun Belt,3.5,0.46299999999999997,7.7,2.9,0.611,4.7,30,29.0,768.0,4.8,10.2,0.7,New Orleans,2008-09,3.7,7.7,Jaroslav Tyrna
2.5,0.488,5.2,1.1,0.4,2.8,1.3,0.9,Sun Belt,3.6,0.457,8.0,1.5,0.5329999999999999,2.8,30,16.0,649.0,5.2,9.9,1.0,New Orleans,2009-10,3.1,6.3,Jaroslav Tyrna
3.1,0.511,6.1,0.5,0.32899999999999996,1.6,1.4,1.0,,3.6,0.473,7.7,2.1,0.578,3.6,92,46.0,1842.0,4.9,9.9,0.8,New Orleans,Career,3.2,7.4,Jaroslav Tyrna
0.0,0.0,8.0,0.0,0.0,16.0,0.0,0.0,SEC,0.0,0.0,24.0,0.0,,0.0,3,0.0,5.0,0.0,0.0,0.0,Ole Miss,2017-18,8.0,16.0,Ilya Tyrtyshnik
0.0,0.0,8.0,0.0,0.0,16.0,0.0,0.0,,0.0,0.0,24.0,0.0,,0.0,3,0.0,5.0,0.0,0.0,0.0,Ole Miss,Career,8.0,16.0,Ilya Tyrtyshnik
2.1,0.405,5.2,2.6,0.313,8.3,2.8,0.0,Pac-10,4.7,0.349,13.5,1.2,0.526,2.4,23,2.0,323.0,3.1,13.3,2.5,Washington,1992-93,2.0,3.6,Jason Tyrus
2.3,0.374,6.2,1.3,0.21100000000000002,6.0,3.8,0.0,Pac-10,3.6,0.294,12.2,2.2,0.574,3.8,27,14.0,636.0,2.1,10.6,1.7,Washington,1993-94,3.3,3.8,Jason Tyrus
2.3,0.38299999999999995,5.9,1.7,0.253,6.8,3.5,0.0,,4.0,0.314,12.6,1.9,0.563,3.3,50,16.0,959.0,2.4,11.5,2.0,Washington,Career,2.9,3.7,Jason Tyrus
0.0,,0.0,0.0,,0.0,0.0,0.0,MWC,0.0,,0.0,0.0,,0.0,4,0.0,5.0,0.0,0.0,0.0,Wyoming,2012-13,0.0,16.0,Aaron Tyser
